#Energy[eV]	Flux[ph/s/100mA] 
10000.000	1.626456E+13 
30000.000	5.063956E+10 
40000.000	9.186656E+09 
50000.000	8.886461E+08 
70000.000	2.431251E+07 
80000.000	6.682989E+06 
90000.000	9.747937E+05 
110000.000	5.001011E+04 
120000.000	1.600899E+04 
130000.000	2.593850E+03 
150000.000	1.480910E+02 
160000.000	5.360522E+01 
170000.000	9.003413E+00 
190000.000	5.900209E-01 
200000.000	2.082693E-01 
210000.000	3.740035E-02 
230000.000	1.753044E-03 
240000.000	6.653087E-04 
250000.000	1.595810E-04 
270000.000	6.604992E-05 
280000.000	1.188345E-04 
290000.000	5.740120E-05 
