#DELTA21, K = 0.844536
#Energy[eV]	Flux[ph/s/eV/100mA] 
2420.00	1.545787E+11 
2430.00	1.601490E+11 
2440.00	1.660641E+11 
2450.00	1.721268E+11 
2460.00	1.786143E+11 
2470.00	1.857955E+11 
2480.00	1.936845E+11 
2490.00	2.019525E+11 
2500.00	2.107917E+11 
2510.00	2.208105E+11 
2520.00	2.320051E+11 
2530.00	2.440898E+11 
2540.00	2.573438E+11 
2550.00	2.725247E+11 
2560.00	2.902291E+11 
2570.00	3.105942E+11 
2580.00	3.342438E+11 
2590.00	3.627987E+11 
2600.00	3.980773E+11 
2610.00	4.414579E+11 
2620.00	4.947228E+11 
2630.00	5.611479E+11 
2640.00	6.450257E+11 
2650.00	7.511111E+11 
2660.00	8.858798E+11 
2670.00	1.059703E+12 
2680.00	1.287328E+12 
2690.00	1.586390E+12 
2700.00	1.976307E+12 
2710.00	2.478984E+12 
2720.00	3.121229E+12 
2730.00	3.939895E+12 
2740.00	4.989719E+12 
2750.00	6.347336E+12 
2760.00	8.100099E+12 
2770.00	1.032953E+13 
2780.00	1.312588E+13 
2790.00	1.663585E+13 
2800.00	2.106823E+13 
2810.00	2.662842E+13 
2820.00	3.352179E+13 
2830.00	4.205592E+13 
2840.00	5.261483E+13 
2850.00	6.561577E+13 
2860.00	8.161467E+13 
2870.00	1.013366E+14 
2880.00	1.258126E+14 
2890.00	1.567598E+14 
2900.00	1.976683E+14 
2910.00	2.538998E+14 
2920.00	3.183022E+14 
2930.00	3.646845E+14 
2940.00	3.899480E+14 
2950.00	4.084251E+14 
2960.00	4.249642E+14 
2970.00	4.392700E+14 
2980.00	4.486431E+14 
2990.00	4.258426E+14 
3000.00	2.402659E+14 
3010.00	4.963736E+13 
3020.00	1.421969E+13 
3030.00	8.108103E+12 
3040.00	5.468959E+12 
3050.00	4.013193E+12 
3060.00	3.112858E+12 
3070.00	2.499289E+12 
3080.00	2.049573E+12 
3090.00	1.712829E+12 
3100.00	1.460160E+12 
3110.00	1.263612E+12 
3120.00	1.102097E+12 
3130.00	9.678463E+11 
3140.00	8.589192E+11 
3150.00	7.698408E+11 
3160.00	6.930977E+11 
3170.00	6.255455E+11 
