#Energy[eV]	Flux[ph/s/0.1%bw/100mA] 
2420.00	1.703454E+11 
2430.00	1.622735E+11 
2440.00	1.841003E+11 
2450.00	1.760453E+11 
2460.00	1.467995E+11 
2470.00	1.504208E+11 
2480.00	1.676351E+11 
2490.00	1.517577E+11 
2500.00	1.303939E+11 
2510.00	1.417168E+11 
2520.00	1.518709E+11 
2530.00	1.318262E+11 
2540.00	1.194857E+11 
2550.00	1.344394E+11 
2560.00	1.367826E+11 
2570.00	1.161670E+11 
2580.00	1.125522E+11 
2590.00	1.274744E+11 
2600.00	1.226732E+11 
2610.00	1.045399E+11 
2620.00	1.082089E+11 
2630.00	1.202810E+11 
2640.00	1.100128E+11 
2650.00	9.654773E+10 
2660.00	1.053047E+11 
2670.00	1.126923E+11 
2680.00	9.923516E+10 
2690.00	9.160018E+10 
2700.00	1.029118E+11 
2710.00	1.048465E+11 
2720.00	9.065048E+10 
2730.00	8.899160E+10 
2740.00	1.003807E+11 
2750.00	9.711093E+10 
2760.00	8.442546E+10 
2770.00	8.797841E+10 
2780.00	9.735706E+10 
2790.00	8.993490E+10 
2800.00	8.048737E+10 
2810.00	8.784888E+10 
2820.00	9.375394E+10 
2830.00	8.377100E+10 
2840.00	7.862352E+10 
2850.00	8.798038E+10 
2860.00	8.971520E+10 
2870.00	7.902627E+10 
2880.00	7.845190E+10 
2890.00	8.794427E+10 
2900.00	8.557154E+10 
2910.00	7.595909E+10 
2920.00	7.953158E+10 
2930.00	8.748128E+10 
2940.00	8.173136E+10 
2950.00	7.464652E+10 
2960.00	8.133897E+10 
2970.00	8.653282E+10 
2980.00	7.864693E+10 
2990.00	7.506420E+10 
3000.00	8.347937E+10 
3010.00	8.526078E+10 
3020.00	7.673477E+10 
3030.00	7.699412E+10 
3040.00	8.562487E+10 
3050.00	8.395544E+10 
3060.00	7.634353E+10 
3070.00	8.019503E+10 
3080.00	8.760864E+10 
3090.00	8.306893E+10 
3100.00	7.766242E+10 
3110.00	8.434472E+10 
3120.00	8.946000E+10 
3130.00	8.310902E+10 
3140.00	8.086312E+10 
3150.00	8.921761E+10 
3160.00	9.143803E+10 
3170.00	8.461496E+10 
3180.00	8.595795E+10 
3190.00	9.469521E+10 
3200.00	9.398285E+10 
3210.00	8.813860E+10 
3220.00	9.296706E+10 
3230.00	1.008749E+11 
3240.00	9.777922E+10 
3250.00	9.424839E+10 
3260.00	1.020267E+11 
3270.00	1.081737E+11 
3280.00	1.037738E+11 
3290.00	1.036315E+11 
3300.00	1.135128E+11 
3310.00	1.175056E+11 
3320.00	1.133087E+11 
3330.00	1.173616E+11 
3340.00	1.285677E+11 
3350.00	1.308912E+11 
3360.00	1.290382E+11 
3370.00	1.382119E+11 
3380.00	1.507377E+11 
3390.00	1.533516E+11 
3400.00	1.569697E+11 
3410.00	1.729983E+11 
3420.00	1.888297E+11 
3430.00	1.967476E+11 
3440.00	2.124345E+11 
3450.00	2.421090E+11 
3460.00	2.711497E+11 
3470.00	2.996228E+11 
3480.00	3.461006E+11 
3490.00	4.114001E+11 
3500.00	4.829081E+11 
3510.00	5.706857E+11 
3520.00	6.959774E+11 
3530.00	8.585341E+11 
3540.00	1.055916E+12 
3550.00	1.312166E+12 
3560.00	1.651255E+12 
3570.00	2.073923E+12 
3580.00	2.591426E+12 
3590.00	3.244483E+12 
3600.00	4.066578E+12 
3610.00	5.070672E+12 
3620.00	6.284362E+12 
3630.00	7.752117E+12 
3640.00	9.498792E+12 
3650.00	1.153331E+13 
3660.00	1.387634E+13 
3670.00	1.653840E+13 
3680.00	1.948452E+13 
3690.00	2.265084E+13 
3700.00	2.595848E+13 
3710.00	2.927631E+13 
3720.00	3.239555E+13 
3730.00	3.503239E+13 
3740.00	3.680846E+13 
3750.00	3.729282E+13 
3760.00	3.620263E+13 
3770.00	3.355154E+13 
3780.00	2.950070E+13 
3790.00	2.418080E+13 
3800.00	1.791749E+13 
3810.00	1.161347E+13 
3820.00	6.452437E+12 
3830.00	3.218688E+12 
3840.00	1.730909E+12 
3850.00	1.145652E+12 
3860.00	9.138763E+11 
3870.00	7.220876E+11 
3880.00	5.856684E+11 
3890.00	5.059742E+11 
3900.00	4.405318E+11 
3910.00	3.781522E+11 
3920.00	3.333175E+11 
3930.00	3.025671E+11 
3940.00	2.722140E+11 
3950.00	2.435400E+11 
3960.00	2.232585E+11 
3970.00	2.073927E+11 
3980.00	1.903126E+11 
3990.00	1.748702E+11 
4000.00	1.640412E+11 
4010.00	1.544516E+11 
4020.00	1.437854E+11 
4030.00	1.346766E+11 
4040.00	1.282267E+11 
4050.00	1.218321E+11 
4060.00	1.147332E+11 
4070.00	1.090318E+11 
4080.00	1.048767E+11 
4090.00	1.003258E+11 
4100.00	9.540198E+10 
4110.00	9.167965E+10 
4120.00	8.884000E+10 
4130.00	8.545896E+10 
4140.00	8.193412E+10 
4150.00	7.944687E+10 
4160.00	7.742286E+10 
4170.00	7.480907E+10 
4180.00	7.223784E+10 
4190.00	7.057246E+10 
4200.00	6.907487E+10 
4210.00	6.699299E+10 
4220.00	6.511801E+10 
4230.00	6.401959E+10 
4240.00	6.285387E+10 
4250.00	6.116095E+10 
4260.00	5.980937E+10 
4270.00	5.913104E+10 
4280.00	5.817144E+10 
4290.00	5.676401E+10 
4300.00	5.586122E+10 
4310.00	5.546798E+10 
4320.00	5.462426E+10 
4330.00	5.347055E+10 
4340.00	5.294743E+10 
4350.00	5.273978E+10 
4360.00	5.194924E+10 
4370.00	5.104652E+10 
4380.00	5.085639E+10 
4390.00	5.074328E+10 
4400.00	4.997832E+10 
4410.00	4.934506E+10 
4420.00	4.943122E+10 
4430.00	4.932284E+10 
4440.00	4.859240E+10 
4450.00	4.825177E+10 
4460.00	4.854809E+10 
4470.00	4.837958E+10 
4480.00	4.772469E+10 
4490.00	4.769707E+10 
4500.00	4.811494E+10 
4510.00	4.785382E+10 
4520.00	4.733366E+10 
4530.00	4.762630E+10 
4540.00	4.807602E+10 
4550.00	4.770823E+10 
4560.00	4.741335E+10 
4570.00	4.799235E+10 
4580.00	4.837716E+10 
4590.00	4.795211E+10 
4600.00	4.794951E+10 
4610.00	4.874956E+10 
4620.00	4.900085E+10 
4630.00	4.859014E+10 
4640.00	4.894601E+10 
4650.00	4.988026E+10 
4660.00	4.995210E+10 
4670.00	4.966482E+10 
4680.00	5.040961E+10 
4690.00	5.135625E+10 
4700.00	5.125585E+10 
4710.00	5.122172E+10 
4720.00	5.232746E+10 
4730.00	5.317532E+10 
4740.00	5.296881E+10 
4750.00	5.332146E+10 
4760.00	5.471130E+10 
4770.00	5.537765E+10 
4780.00	5.518073E+10 
4790.00	5.600673E+10 
4800.00	5.758484E+10 
4810.00	5.801406E+10 
4820.00	5.799148E+10 
4830.00	5.935448E+10 
4840.00	6.096921E+10 
4850.00	6.118348E+10 
4860.00	6.152989E+10 
4870.00	6.341382E+10 
4880.00	6.493080E+10 
4890.00	6.502459E+10 
4900.00	6.593026E+10 
4910.00	6.827057E+10 
4920.00	6.957194E+10 
4930.00	6.973112E+10 
4940.00	7.136845E+10 
4950.00	7.403087E+10 
4960.00	7.506954E+10 
4970.00	7.555467E+10 
4980.00	7.804268E+10 
4990.00	8.086698E+10 
5000.00	8.171030E+10 
5010.00	8.285898E+10 
5020.00	8.627429E+10 
5030.00	8.913055E+10 
5040.00	9.000169E+10 
5050.00	9.221046E+10 
5060.00	9.656891E+10 
5070.00	9.940232E+10 
5080.00	1.006990E+11 
5090.00	1.043737E+11 
5100.00	1.096058E+11 
5110.00	1.124558E+11 
5120.00	1.147146E+11 
5130.00	1.202437E+11 
5140.00	1.263518E+11 
5150.00	1.295903E+11 
5160.00	1.336793E+11 
5170.00	1.415895E+11 
5180.00	1.487539E+11 
5190.00	1.531324E+11 
5200.00	1.601822E+11 
5210.00	1.709886E+11 
5220.00	1.795486E+11 
5230.00	1.861427E+11 
5240.00	1.972700E+11 
5250.00	2.112915E+11 
5260.00	2.216330E+11 
5270.00	2.316585E+11 
5280.00	2.478664E+11 
5290.00	2.652550E+11 
5300.00	2.779976E+11 
5310.00	2.929986E+11 
5320.00	3.151954E+11 
5330.00	3.360520E+11 
5340.00	3.522532E+11 
5350.00	3.742261E+11 
5360.00	4.036930E+11 
5370.00	4.294911E+11 
5380.00	4.535231E+11 
5390.00	4.896689E+11 
5400.00	5.355272E+11 
5410.00	5.802949E+11 
5420.00	6.350221E+11 
5430.00	7.174012E+11 
5440.00	8.221388E+11 
5450.00	9.460992E+11 
5460.00	1.117385E+12 
5470.00	1.361474E+12 
5480.00	1.677739E+12 
5490.00	2.086104E+12 
5500.00	2.646312E+12 
5510.00	3.403776E+12 
5520.00	4.385222E+12 
5530.00	5.668382E+12 
5540.00	7.378476E+12 
5550.00	9.620547E+12 
5560.00	1.251758E+13 
5570.00	1.630602E+13 
5580.00	2.132523E+13 
5590.00	2.800695E+13 
5600.00	3.689755E+13 
5610.00	4.828892E+13 
5620.00	6.145849E+13 
5630.00	7.460887E+13 
5640.00	8.610092E+13 
5650.00	9.558669E+13 
5660.00	1.036183E+14 
5670.00	1.107581E+14 
5680.00	1.176446E+14 
5690.00	1.246444E+14 
5700.00	1.294921E+14 
5710.00	1.259671E+14 
5720.00	1.081502E+14 
5730.00	7.764730E+13 
5740.00	4.482685E+13 
5750.00	2.087474E+13 
5760.00	9.255315E+12 
5770.00	5.574621E+12 
5780.00	4.267637E+12 
