# Energy[eV]	Flux[ph/s/100mA]	Power[W/100mA]	Resolution	Resolution_Filtered	Harmonic
1.233600E+04 2.321166E+13 4.587638E-02 1.587629E-04 1.618647E-04 1.000000E+00
3.700800E+04 4.824514E+10 2.860614E-04 1.090096E-04 1.117095E-04 3.000000E+00
4.934400E+04 3.418402E+09 2.702511E-05 1.079162E-04 1.106827E-04 4.000000E+00
6.168000E+04 2.622757E+08 2.591864E-06 1.006893E-04 1.075767E-04 5.000000E+00
8.635200E+04 2.787049E+06 3.855911E-08 7.914448E-05 1.030258E-04 7.000000E+00
9.868800E+04 3.644711E+05 5.762850E-09 7.484345E-05 1.031656E-04 8.000000E+00
1.110240E+05 2.797519E+04 4.976212E-10 8.428370E-05 1.055552E-04 9.000000E+00
1.356960E+05 5.202130E+02 1.130986E-11 3.669873E-05 1.091116E-04 1.100000E+01
1.480320E+05 8.822891E+01 2.092548E-12 4.260490E-05 1.078272E-04 1.200000E+01
1.603680E+05 8.727087E+00 2.242305E-13 -8.224589E-07 1.077810E-04 1.300000E+01
1.850400E+05 1.522825E-01 4.514643E-15 1.695309E-05 9.827573E-05 1.500000E+01
1.973760E+05 3.210957E-02 1.015399E-15 1.700338E-05 1.030639E-04 1.600000E+01
