#K = 1.768622
#Energy[eV]	Flux[ph/s/100mA] 
5000.000	2.055356E+13 
15000.000	2.498451E+11 
20000.000	3.532291E+10 
25000.000	1.058017E+08 
35000.000	1.085736E+05 
40000.000	1.195771E+04 
45000.000	7.220287E+02 
55000.000	1.321947E+01 
60000.000	2.722658E+00 
65000.000	3.750976E-01 
75000.000	1.472458E-02 
80000.000	3.924466E-03 
85000.000	7.814539E-04 
95000.000	3.906743E-05 
100000.000	1.387849E-05 
105000.000	1.652669E-06 
115000.000	1.141348E-07 
120000.000	5.839067E-08 
125000.000	9.232521E-09 
135000.000	8.039867E-10 
140000.000	3.265431E-10 
145000.000	5.169664E-11 
155000.000	3.751862E-12 
160000.000	2.232689E-12 
165000.000	4.518440E-13 
175000.000	4.228653E-14 
180000.000	2.564550E-14 
185000.000	8.457794E-15 
195000.000	5.462315E-16 
200000.000	9.486463E-16 
205000.000	6.041270E-16 
215000.000	6.007984E-17 
220000.000	1.741889E-16 
225000.000	1.286556E-16 
235000.000	4.425421E-18 
240000.000	8.599633E-17 
245000.000	1.138173E-16 
255000.000	3.866714E-17 
260000.000	3.290047E-17 
265000.000	8.234310E-19 
275000.000	1.632995E-17 
280000.000	1.611058E-20 
285000.000	1.415166E-17 
295000.000	8.764996E-18 
300000.000	5.011190E-20 
