#Energy[eV]	Flux[ph/s/eV/100mA] 
2430.00	5.657958E+10 
2440.00	6.556242E+10 
2450.00	7.931174E+10 
2460.00	1.015997E+11 
2470.00	1.413608E+11 
2480.00	2.163127E+11 
2490.00	3.621412E+11 
2500.00	6.497363E+11 
2510.00	1.211452E+12 
2520.00	2.268143E+12 
2530.00	4.161537E+12 
2540.00	7.363438E+12 
2550.00	1.233088E+13 
2560.00	1.913658E+13 
2570.00	2.667263E+13 
2580.00	3.121314E+13 
2590.00	2.664751E+13 
2600.00	1.284378E+13 
2610.00	2.299941E+12 
2620.00	5.841549E+11 
2630.00	3.140155E+11 
2640.00	2.081659E+11 
2650.00	1.507509E+11 
2660.00	1.154928E+11 
2670.00	9.209279E+10 
2680.00	7.568995E+10 
2690.00	6.371199E+10 
2700.00	5.468264E+10 
2710.00	4.770098E+10 
2720.00	4.218623E+10 
2730.00	3.775576E+10 
2740.00	3.414306E+10 
2750.00	3.115944E+10 
2760.00	2.866820E+10 
2770.00	2.656514E+10 
2780.00	2.477813E+10 
2790.00	2.323419E+10 
2800.00	2.191631E+10 
2810.00	2.077078E+10 
2820.00	1.977240E+10 
2830.00	1.889882E+10 
2840.00	1.813266E+10 
2850.00	1.745293E+10 
2860.00	1.685357E+10 
2870.00	1.632456E+10 
2880.00	1.585770E+10 
2890.00	1.544045E+10 
2900.00	1.506776E+10 
2910.00	1.473024E+10 
2920.00	1.444500E+10 
2930.00	1.418824E+10 
2940.00	1.395900E+10 
2950.00	1.375709E+10 
2960.00	1.358351E+10 
2970.00	1.343071E+10 
2980.00	1.329832E+10 
2990.00	1.319321E+10 
3000.00	1.310515E+10 
3010.00	1.303249E+10 
3020.00	1.297381E+10 
3030.00	1.292925E+10 
3040.00	1.290438E+10 
3050.00	1.288997E+10 
3060.00	1.289323E+10 
3070.00	1.290577E+10 
3080.00	1.293286E+10 
3090.00	1.297476E+10 
3100.00	1.302486E+10 
3110.00	1.309424E+10 
3120.00	1.316837E+10 
3130.00	1.325325E+10 
3140.00	1.335731E+10 
3150.00	1.347013E+10 
3160.00	1.360132E+10 
3170.00	1.374047E+10 
3180.00	1.389258E+10 
3190.00	1.405799E+10 
3200.00	1.423340E+10 
3210.00	1.442933E+10 
3220.00	1.463717E+10 
3230.00	1.485140E+10 
3240.00	1.510005E+10 
3250.00	1.535341E+10 
3260.00	1.562606E+10 
3270.00	1.591640E+10 
3280.00	1.622547E+10 
3290.00	1.655702E+10 
3300.00	1.690668E+10 
3310.00	1.728034E+10 
3320.00	1.767786E+10 
3330.00	1.809809E+10 
3340.00	1.854903E+10 
3350.00	1.902634E+10 
3360.00	1.953676E+10 
3370.00	2.007766E+10 
3380.00	2.065424E+10 
3390.00	2.127011E+10 
3400.00	2.192841E+10 
3410.00	2.263163E+10 
3420.00	2.338427E+10 
3430.00	2.418335E+10 
3440.00	2.504792E+10 
3450.00	2.596911E+10 
3460.00	2.695915E+10 
3470.00	2.802615E+10 
3480.00	2.917595E+10 
3490.00	3.041698E+10 
3500.00	3.175601E+10 
3510.00	3.320355E+10 
3520.00	3.477969E+10 
3530.00	3.648607E+10 
3540.00	3.834465E+10 
3550.00	4.038379E+10 
3560.00	4.261445E+10 
3570.00	4.505329E+10 
3580.00	4.774648E+10 
3590.00	5.071881E+10 
3600.00	5.401628E+10 
3610.00	5.768677E+10 
3620.00	6.178629E+10 
3630.00	6.638857E+10 
3640.00	7.158766E+10 
3650.00	7.749783E+10 
3660.00	8.426321E+10 
3670.00	9.204221E+10 
3680.00	1.010262E+11 
3690.00	1.114889E+11 
3700.00	1.237738E+11 
3710.00	1.383344E+11 
3720.00	1.558313E+11 
3730.00	1.773263E+11 
3740.00	2.047043E+11 
3750.00	2.416407E+11 
3760.00	2.955755E+11 
3770.00	3.816189E+11 
3780.00	5.302384E+11 
3790.00	8.022575E+11 
3800.00	1.316619E+12 
3810.00	2.297862E+12 
3820.00	4.158850E+12 
3830.00	7.649608E+12 
3840.00	1.413120E+13 
3850.00	2.620833E+13 
3860.00	4.915791E+13 
3870.00	8.848986E+13 
3880.00	1.336903E+14 
3890.00	1.653634E+14 
3900.00	1.620193E+14 
3910.00	8.191394E+13 
3920.00	1.582211E+13 
3930.00	3.508675E+12 
3940.00	1.781297E+12 
3950.00	1.142190E+12 
3960.00	8.053718E+11 
3970.00	6.020067E+11 
3980.00	4.686074E+11 
3990.00	3.759297E+11 
4000.00	3.087342E+11 
4010.00	2.583672E+11 
4020.00	2.195973E+11 
4030.00	1.890914E+11 
4040.00	1.646439E+11 
4050.00	1.447423E+11 
4060.00	1.283233E+11 
4070.00	1.146154E+11 
4080.00	1.030504E+11 
4090.00	9.321052E+10 
4100.00	8.476074E+10 
4110.00	7.744919E+10 
4120.00	7.108932E+10 
4130.00	6.552051E+10 
4140.00	6.061537E+10 
4150.00	5.627567E+10 
4160.00	5.241914E+10 
4170.00	4.897622E+10 
4180.00	4.588822E+10 
4190.00	4.311327E+10 
4200.00	4.060229E+10 
4210.00	3.833769E+10 
4220.00	3.628286E+10 
4230.00	3.440018E+10 
4240.00	3.269217E+10 
4250.00	3.112797E+10 
4260.00	2.969251E+10 
4270.00	2.837725E+10 
4280.00	2.716661E+10 
4290.00	2.605210E+10 
4300.00	2.502009E+10 
4310.00	2.406844E+10 
4320.00	2.318707E+10 
4330.00	2.237511E+10 
4340.00	2.162171E+10 
4350.00	2.091990E+10 
4360.00	2.026814E+10 
4370.00	1.966469E+10 
4380.00	1.910463E+10 
4390.00	1.858354E+10 
4400.00	1.809992E+10 
4410.00	1.764937E+10 
4420.00	1.723398E+10 
4430.00	1.684542E+10 
4440.00	1.648675E+10 
4450.00	1.615491E+10 
4460.00	1.585013E+10 
4470.00	1.557035E+10 
4480.00	1.531067E+10 
4490.00	1.507196E+10 
4500.00	1.485793E+10 
4510.00	1.466358E+10 
4520.00	1.448735E+10 
4530.00	1.433088E+10 
4540.00	1.419191E+10 
4550.00	1.406960E+10 
4560.00	1.397522E+10 
4570.00	1.389116E+10 
4580.00	1.382403E+10 
4590.00	1.377578E+10 
4600.00	1.374786E+10 
4610.00	1.373467E+10 
4620.00	1.373904E+10 
4630.00	1.376201E+10 
4640.00	1.380337E+10 
4650.00	1.386156E+10 
4660.00	1.394422E+10 
4670.00	1.405002E+10 
4680.00	1.417383E+10 
4690.00	1.432252E+10 
4700.00	1.449622E+10 
4710.00	1.469308E+10 
4720.00	1.492079E+10 
4730.00	1.517751E+10 
4740.00	1.546807E+10 
4750.00	1.579346E+10 
