#     Energy       Flux            PL            PC          PL45
#         eV  ph/s/0.1%             -             -             -
9.08785e+03  6.465e+12  6.896867e-01  0.000000e+00  0.000000e+00
9.18770e+03  6.451e+12  6.907188e-01  0.000000e+00  0.000000e+00
9.28755e+03  6.438e+12  6.917429e-01  0.000000e+00  0.000000e+00
9.38740e+03  6.424e+12  6.927591e-01  0.000000e+00  0.000000e+00
9.48725e+03  6.410e+12  6.937675e-01  0.000000e+00  0.000000e+00
9.58710e+03  6.396e+12  6.947683e-01  0.000000e+00  0.000000e+00
9.68695e+03  6.382e+12  6.957615e-01  0.000000e+00  0.000000e+00
9.78680e+03  6.368e+12  6.967473e-01  0.000000e+00  0.000000e+00
9.88665e+03  6.353e+12  6.977257e-01  0.000000e+00  0.000000e+00
9.98650e+03  6.339e+12  6.986968e-01  0.000000e+00  0.000000e+00
1.00863e+04  6.324e+12  6.996608e-01  0.000000e+00  0.000000e+00
1.01862e+04  6.309e+12  7.006178e-01  0.000000e+00  0.000000e+00
1.02860e+04  6.294e+12  7.015678e-01  0.000000e+00  0.000000e+00
1.03859e+04  6.279e+12  7.025110e-01  0.000000e+00  0.000000e+00
1.04857e+04  6.264e+12  7.034474e-01  0.000000e+00  0.000000e+00
1.05856e+04  6.249e+12  7.043771e-01  0.000000e+00  0.000000e+00
1.06854e+04  6.233e+12  7.053002e-01  0.000000e+00  0.000000e+00
1.07853e+04  6.218e+12  7.062169e-01  0.000000e+00  0.000000e+00
1.08851e+04  6.202e+12  7.071271e-01  0.000000e+00  0.000000e+00
1.09850e+04  6.186e+12  7.080310e-01  0.000000e+00  0.000000e+00
1.10848e+04  6.170e+12  7.089287e-01  0.000000e+00  0.000000e+00
1.11847e+04  6.155e+12  7.098202e-01  0.000000e+00  0.000000e+00
1.12845e+04  6.139e+12  7.107056e-01  0.000000e+00  0.000000e+00
1.13844e+04  6.123e+12  7.115850e-01  0.000000e+00  0.000000e+00
1.14842e+04  6.106e+12  7.124584e-01  0.000000e+00  0.000000e+00
1.15841e+04  6.090e+12  7.133299e-01  0.000000e+00  0.000000e+00
1.16839e+04  6.074e+12  7.141921e-01  0.000000e+00  0.000000e+00
1.17838e+04  6.057e+12  7.150487e-01  0.000000e+00  0.000000e+00
1.18836e+04  6.041e+12  7.158996e-01  0.000000e+00  0.000000e+00
1.19835e+04  6.024e+12  7.167449e-01  0.000000e+00  0.000000e+00
1.20833e+04  6.008e+12  7.175847e-01  0.000000e+00  0.000000e+00
1.21832e+04  5.991e+12  7.184190e-01  0.000000e+00  0.000000e+00
1.22830e+04  5.975e+12  7.192480e-01  0.000000e+00  0.000000e+00
1.23829e+04  5.958e+12  7.200717e-01  0.000000e+00  0.000000e+00
1.24827e+04  5.941e+12  7.208900e-01  0.000000e+00  0.000000e+00
1.25826e+04  5.924e+12  7.217032e-01  0.000000e+00  0.000000e+00
1.26824e+04  5.907e+12  7.225112e-01  0.000000e+00  0.000000e+00
1.27823e+04  5.890e+12  7.233141e-01  0.000000e+00  0.000000e+00
1.28821e+04  5.873e+12  7.241120e-01  0.000000e+00  0.000000e+00
1.29820e+04  5.856e+12  7.249048e-01  0.000000e+00  0.000000e+00
1.30818e+04  5.839e+12  7.256927e-01  0.000000e+00  0.000000e+00
1.31817e+04  5.822e+12  7.264757e-01  0.000000e+00  0.000000e+00
1.32815e+04  5.805e+12  7.272538e-01  0.000000e+00  0.000000e+00
1.33814e+04  5.788e+12  7.280272e-01  0.000000e+00  0.000000e+00
1.34812e+04  5.771e+12  7.287957e-01  0.000000e+00  0.000000e+00
1.35811e+04  5.753e+12  7.295596e-01  0.000000e+00  0.000000e+00
1.36809e+04  5.736e+12  7.303187e-01  0.000000e+00  0.000000e+00
1.37808e+04  5.719e+12  7.310732e-01  0.000000e+00  0.000000e+00
1.38806e+04  5.701e+12  7.318232e-01  0.000000e+00  0.000000e+00
1.39805e+04  5.684e+12  7.325685e-01  0.000000e+00  0.000000e+00
1.40803e+04  5.667e+12  7.333094e-01  0.000000e+00  0.000000e+00
1.41802e+04  5.649e+12  7.340457e-01  0.000000e+00  0.000000e+00
1.42800e+04  5.632e+12  7.347776e-01  0.000000e+00  0.000000e+00
1.43799e+04  5.615e+12  7.355051e-01  0.000000e+00  0.000000e+00
1.44797e+04  5.597e+12  7.362282e-01  0.000000e+00  0.000000e+00
1.45796e+04  5.580e+12  7.369469e-01  0.000000e+00  0.000000e+00
1.46794e+04  5.562e+12  7.376614e-01  0.000000e+00  0.000000e+00
1.47793e+04  5.545e+12  7.383715e-01  0.000000e+00  0.000000e+00
1.48791e+04  5.527e+12  7.390774e-01  0.000000e+00  0.000000e+00
1.49790e+04  5.510e+12  7.397791e-01  0.000000e+00  0.000000e+00
1.50788e+04  5.492e+12  7.404766e-01  0.000000e+00  0.000000e+00
1.51787e+04  5.475e+12  7.411699e-01  0.000000e+00  0.000000e+00
1.52785e+04  5.457e+12  7.418591e-01  0.000000e+00  0.000000e+00
1.53784e+04  5.440e+12  7.425442e-01  0.000000e+00  0.000000e+00
1.54782e+04  5.423e+12  7.432252e-01  0.000000e+00  0.000000e+00
1.55781e+04  5.405e+12  7.439021e-01  0.000000e+00  0.000000e+00
1.56779e+04  5.388e+12  7.445750e-01  0.000000e+00  0.000000e+00
1.57778e+04  5.370e+12  7.452439e-01  0.000000e+00  0.000000e+00
1.58776e+04  5.353e+12  7.459088e-01  0.000000e+00  0.000000e+00
1.59775e+04  5.335e+12  7.465698e-01  0.000000e+00  0.000000e+00
1.60773e+04  5.318e+12  7.472269e-01  0.000000e+00  0.000000e+00
1.61772e+04  5.300e+12  7.478800e-01  0.000000e+00  0.000000e+00
1.62770e+04  5.283e+12  7.485292e-01  0.000000e+00  0.000000e+00
