#Energy[eV]	Flux[ph/s/0.1%bw/100mA] 
227000.00	9.262061E+10 
228000.00	9.053919E+10 
229000.00	8.850406E+10 
230000.00	8.651416E+10 
231000.00	8.456835E+10 
232000.00	8.266563E+10 
233000.00	8.080528E+10 
234000.00	7.898632E+10 
235000.00	7.720770E+10 
236000.00	7.546871E+10 
237000.00	7.376845E+10 
238000.00	7.210590E+10 
239000.00	7.048041E+10 
240000.00	6.889118E+10 
241000.00	6.733727E+10 
242000.00	6.581809E+10 
243000.00	6.433288E+10 
244000.00	6.288075E+10 
245000.00	6.146097E+10 
246000.00	6.007278E+10 
247000.00	5.871558E+10 
248000.00	5.738891E+10 
249000.00	5.609171E+10 
250000.00	5.482372E+10 
251000.00	5.358402E+10 
252000.00	5.237207E+10 
253000.00	5.118721E+10 
254000.00	5.002885E+10 
255000.00	4.889630E+10 
256000.00	4.778923E+10 
257000.00	4.670690E+10 
258000.00	4.564899E+10 
259000.00	4.461459E+10 
260000.00	4.360348E+10 
261000.00	4.261500E+10 
262000.00	4.164879E+10 
263000.00	4.070421E+10 
264000.00	3.978104E+10 
265000.00	3.887829E+10 
266000.00	3.799617E+10 
267000.00	3.713350E+10 
268000.00	3.629051E+10 
269000.00	3.546634E+10 
270000.00	3.466072E+10 
271000.00	3.387330E+10 
272000.00	3.310357E+10 
273000.00	3.235113E+10 
274000.00	3.161567E+10 
275000.00	3.089681E+10 
276000.00	3.019399E+10 
277000.00	2.950721E+10 
278000.00	2.883570E+10 
279000.00	2.817956E+10 
280000.00	2.753804E+10 
281000.00	2.691107E+10 
282000.00	2.629823E+10 
283000.00	2.569931E+10 
284000.00	2.511377E+10 
285000.00	2.454155E+10 
286000.00	2.398231E+10 
287000.00	2.343570E+10 
288000.00	2.290142E+10 
289000.00	2.237916E+10 
290000.00	2.186870E+10 
291000.00	2.136987E+10 
292000.00	2.088223E+10 
293000.00	2.040566E+10 
294000.00	1.993988E+10 
295000.00	1.948476E+10 
296000.00	1.903982E+10 
297000.00	1.860511E+10 
298000.00	1.817999E+10 
299000.00	1.776471E+10 
300000.00	1.735875E+10 
301000.00	1.696214E+10 
302000.00	1.657436E+10 
303000.00	1.619545E+10 
304000.00	1.582506E+10 
305000.00	1.546315E+10 
306000.00	1.510949E+10 
307000.00	1.476381E+10 
308000.00	1.442602E+10 
309000.00	1.409587E+10 
310000.00	1.377321E+10 
311000.00	1.345782E+10 
312000.00	1.314978E+10 
313000.00	1.284859E+10 
314000.00	1.255432E+10 
315000.00	1.226672E+10 
316000.00	1.198565E+10 
317000.00	1.171094E+10 
318000.00	1.144251E+10 
319000.00	1.118024E+10 
320000.00	1.092388E+10 
321000.00	1.067346E+10 
322000.00	1.042866E+10 
323000.00	1.018947E+10 
324000.00	9.955757E+09 
325000.00	9.727275E+09 
326000.00	9.504066E+09 
327000.00	9.285868E+09 
328000.00	9.072743E+09 
329000.00	8.864399E+09 
330000.00	8.660867E+09 
331000.00	8.461914E+09 
332000.00	8.267628E+09 
333000.00	8.077612E+09 
334000.00	7.892073E+09 
335000.00	7.710642E+09 
336000.00	7.533536E+09 
337000.00	7.360357E+09 
338000.00	7.191117E+09 
339000.00	7.025792E+09 
340000.00	6.864224E+09 
341000.00	6.706350E+09 
342000.00	6.552049E+09 
343000.00	6.401395E+09 
344000.00	6.254070E+09 
345000.00	6.110133E+09 
346000.00	5.969482E+09 
347000.00	5.832119E+09 
348000.00	5.697809E+09 
349000.00	5.566652E+09 
350000.00	5.438447E+09 
351000.00	5.313210E+09 
352000.00	5.190799E+09 
353000.00	5.071249E+09 
354000.00	4.954422E+09 
355000.00	4.840262E+09 
356000.00	4.728702E+09 
357000.00	4.619752E+09 
358000.00	4.513247E+09 
359000.00	4.409235E+09 
360000.00	4.307531E+09 
361000.00	4.208197E+09 
362000.00	4.111121E+09 
363000.00	4.016324E+09 
364000.00	3.923603E+09 
365000.00	3.833110E+09 
366000.00	3.744660E+09 
367000.00	3.658278E+09 
368000.00	3.573834E+09 
369000.00	3.491358E+09 
370000.00	3.410731E+09 
371000.00	3.332019E+09 
372000.00	3.255018E+09 
373000.00	3.179852E+09 
374000.00	3.106413E+09 
375000.00	3.034663E+09 
376000.00	2.964580E+09 
377000.00	2.896070E+09 
378000.00	2.829161E+09 
379000.00	2.763774E+09 
380000.00	2.699862E+09 
381000.00	2.637462E+09 
382000.00	2.576490E+09 
383000.00	2.516949E+09 
384000.00	2.458744E+09 
385000.00	2.401880E+09 
386000.00	2.346311E+09 
387000.00	2.292043E+09 
388000.00	2.239018E+09 
389000.00	2.187251E+09 
390000.00	2.136638E+09 
391000.00	2.087160E+09 
392000.00	2.038875E+09 
393000.00	1.991677E+09 
394000.00	1.945593E+09 
395000.00	1.900551E+09 
396000.00	1.856555E+09 
397000.00	1.813529E+09 
398000.00	1.771570E+09 
399000.00	1.730532E+09 
400000.00	1.690466E+09 
401000.00	1.651273E+09 
402000.00	1.613035E+09 
403000.00	1.575650E+09 
404000.00	1.539156E+09 
405000.00	1.503479E+09 
406000.00	1.468623E+09 
407000.00	1.434581E+09 
408000.00	1.401334E+09 
409000.00	1.368847E+09 
410000.00	1.337081E+09 
411000.00	1.306082E+09 
412000.00	1.275816E+09 
413000.00	1.246218E+09 
414000.00	1.217307E+09 
415000.00	1.189065E+09 
416000.00	1.161505E+09 
417000.00	1.134536E+09 
