# energy[keV] vert_div_fwhm[mrad] vert_div_rms[mrad] flux[ph/s/0.1%/100mA]
4.280000e+02 7.298658e-02 3.043489e-02 1.016685e+09
4.290000e+02 7.296108e-02 3.040718e-02 9.920136e+08
4.300000e+02 7.281918e-02 3.037153e-02 9.684915e+08
4.310000e+02 7.272978e-02 3.033880e-02 9.452520e+08
4.320000e+02 7.268628e-02 3.031068e-02 9.224017e+08
4.330000e+02 7.254066e-02 3.027479e-02 9.005641e+08
4.340000e+02 7.247691e-02 3.024506e-02 8.788207e+08
4.350000e+02 7.241316e-02 3.021603e-02 8.576885e+08
4.360000e+02 7.226976e-02 3.018122e-02 8.373436e+08
4.370000e+02 7.222446e-02 3.015354e-02 8.170650e+08
4.380000e+02 7.213866e-02 3.012347e-02 7.975205e+08
4.390000e+02 7.200665e-02 3.009027e-02 7.785186e+08
4.400000e+02 7.197155e-02 3.006384e-02 7.596798e+08
4.410000e+02 7.186250e-02 3.003362e-02 7.415281e+08
4.420000e+02 7.175690e-02 3.000170e-02 7.238488e+08
4.430000e+02 7.171475e-02 2.997663e-02 7.062846e+08
4.440000e+02 7.159775e-02 2.994570e-02 6.894894e+08
4.450000e+02 7.150265e-02 2.991605e-02 6.729593e+08
4.460000e+02 7.146185e-02 2.989166e-02 6.566630e+08
4.470000e+02 7.132700e-02 2.986072e-02 6.410710e+08
4.480000e+02 7.126085e-02 2.983338e-02 6.256479e+08
4.490000e+02 7.120400e-02 2.980896e-02 6.105400e+08
4.500000e+02 7.107080e-02 2.977901e-02 5.960297e+08
4.510000e+02 7.101485e-02 2.975251e-02 5.816776e+08
4.520000e+02 7.095395e-02 2.972968e-02 5.676143e+08
4.530000e+02 7.081864e-02 2.969980e-02 5.541484e+08
4.540000e+02 7.077079e-02 2.967525e-02 5.407693e+08
4.550000e+02 7.071034e-02 2.965273e-02 5.277181e+08
4.560000e+02 7.056379e-02 2.962411e-02 5.151918e+08
4.570000e+02 7.053439e-02 2.960074e-02 5.027469e+08
4.580000e+02 7.045639e-02 2.957927e-02 4.906085e+08
4.590000e+02 7.031959e-02 2.955168e-02 4.789635e+08
4.600000e+02 7.027939e-02 2.952928e-02 4.673937e+08
4.610000e+02 7.021759e-02 2.950928e-02 4.561112e+08
4.620000e+02 7.007254e-02 2.948268e-02 4.452708e+08
4.630000e+02 7.003009e-02 2.946087e-02 4.345417e+08
4.640000e+02 6.998044e-02 2.944230e-02 4.240092e+08
4.650000e+02 6.983658e-02 2.941734e-02 4.139500e+08
4.660000e+02 6.978468e-02 2.939651e-02 4.039686e+08
4.670000e+02 6.975258e-02 2.937906e-02 3.941869e+08
4.680000e+02 6.960228e-02 2.935616e-02 3.848053e+08
4.690000e+02 6.953598e-02 2.933558e-02 3.755622e+08
4.700000e+02 6.950763e-02 2.931970e-02 3.664518e+08
4.710000e+02 6.937203e-02 2.929940e-02 3.577121e+08
4.720000e+02 6.928656e-02 2.927827e-02 3.491526e+08
4.730000e+02 6.927486e-02 2.926463e-02 3.406648e+08
4.740000e+02 6.915081e-02 2.924623e-02 3.325239e+08
4.750000e+02 6.905676e-02 2.922650e-02 3.245786e+08
4.760000e+02 6.903876e-02 2.921314e-02 3.166970e+08
4.770000e+02 6.893481e-02 2.919782e-02 3.090969e+08
4.780000e+02 6.881736e-02 2.917895e-02 3.017309e+08
4.790000e+02 6.879906e-02 2.916652e-02 2.944166e+08
4.800000e+02 6.872225e-02 2.915389e-02 2.873241e+08
4.810000e+02 6.859460e-02 2.913689e-02 2.804898e+08
4.820000e+02 6.856205e-02 2.912490e-02 2.737030e+08
4.830000e+02 6.850880e-02 2.911433e-02 2.670811e+08
4.840000e+02 6.837410e-02 2.910048e-02 2.607200e+08
4.850000e+02 6.831920e-02 2.908782e-02 2.544533e+08
4.860000e+02 6.828770e-02 2.908035e-02 2.482773e+08
4.870000e+02 6.816185e-02 2.906974e-02 2.423283e+08
4.880000e+02 6.809075e-02 2.905712e-02 2.365466e+08
4.890000e+02 6.806480e-02 2.905133e-02 2.308094e+08
4.900000e+02 6.795470e-02 2.904475e-02 2.252462e+08
4.910000e+02 6.786020e-02 2.903410e-02 2.198734e+08
4.920000e+02 6.784100e-02 2.902798e-02 2.145739e+08
4.930000e+02 6.775430e-02 2.902434e-02 2.093830e+08
4.940000e+02 6.763459e-02 2.901762e-02 2.043719e+08
4.950000e+02 6.761014e-02 2.901237e-02 1.994575e+08
4.960000e+02 6.755869e-02 2.900943e-02 1.946439e+08
4.970000e+02 6.741214e-02 2.900683e-02 1.899715e+08
4.980000e+02 6.736744e-02 2.900405e-02 1.853980e+08
4.990000e+02 6.735874e-02 2.900288e-02 1.809310e+08
5.000000e+02 6.722194e-02 2.900238e-02 1.765907e+08
5.010000e+02 6.712129e-02 2.900231e-02 1.723465e+08
5.020000e+02 6.714994e-02 2.900515e-02 1.681800e+08
5.030000e+02 6.705829e-02 2.900582e-02 1.641419e+08
5.040000e+02 6.687484e-02 2.900707e-02 1.602120e+08
5.050000e+02 6.687874e-02 2.901267e-02 1.563472e+08
5.060000e+02 6.691009e-02 2.901992e-02 1.525513e+08
5.070000e+02 6.672964e-02 2.902228e-02 1.489110e+08
5.080000e+02 6.657424e-02 2.902732e-02 1.453493e+08
5.090000e+02 6.665269e-02 2.903757e-02 1.418244e+08
5.100000e+02 6.660814e-02 2.904828e-02 1.383988e+08
5.110000e+02 6.641043e-02 2.905475e-02 1.350895e+08
5.120000e+02 6.633993e-02 2.906398e-02 1.318466e+08
5.130000e+02 6.639543e-02 2.907967e-02 1.286602e+08
5.140000e+02 6.627813e-02 2.909143e-02 1.255692e+08
5.150000e+02 6.612843e-02 2.910467e-02 1.225433e+08
5.160000e+02 6.613128e-02 2.911982e-02 1.195983e+08
5.170000e+02 6.611568e-02 2.913638e-02 1.167213e+08
5.180000e+02 6.593316e-02 2.915361e-02 1.139215e+08
5.190000e+02 6.590166e-02 2.917307e-02 1.111639e+08
5.200000e+02 6.588216e-02 2.919305e-02 1.084882e+08
5.210000e+02 6.580941e-02 2.921476e-02 1.058934e+08
5.220000e+02 6.564096e-02 2.923558e-02 1.033508e+08
5.230000e+02 6.567576e-02 2.926207e-02 1.008400e+08
5.240000e+02 6.563286e-02 2.928735e-02 9.841811e+07
5.250000e+02 6.548331e-02 2.931022e-02 9.607559e+07
5.260000e+02 6.536000e-02 2.934052e-02 9.375422e+07
5.270000e+02 6.548661e-02 2.937302e-02 9.147263e+07
5.280000e+02 6.536045e-02 2.939997e-02 8.929544e+07
5.290000e+02 6.517850e-02 2.943156e-02 8.715952e+07
5.300000e+02 6.514175e-02 2.946845e-02 8.504028e+07
5.310000e+02 6.526520e-02 2.950740e-02 8.298267e+07
5.320000e+02 6.509045e-02 2.953878e-02 8.101611e+07
5.330000e+02 6.489440e-02 2.957483e-02 7.907636e+07
5.340000e+02 6.493085e-02 2.962478e-02 7.713568e+07
5.350000e+02 6.503120e-02 2.966587e-02 7.528105e+07
5.360000e+02 6.481220e-02 2.970187e-02 7.351361e+07
5.370000e+02 6.463835e-02 2.974921e-02 7.173804e+07
5.380000e+02 6.474470e-02 2.980650e-02 6.996012e+07
5.390000e+02 6.475205e-02 2.985208e-02 6.830415e+07
5.400000e+02 6.449660e-02 2.989312e-02 6.670895e+07
5.410000e+02 6.443345e-02 2.995436e-02 6.506786e+07
5.420000e+02 6.453515e-02 3.002037e-02 6.346060e+07
5.430000e+02 6.443480e-02 3.006273e-02 6.198901e+07
5.440000e+02 6.423199e-02 3.011688e-02 6.052652e+07
5.450000e+02 6.424264e-02 3.019540e-02 5.900767e+07
5.460000e+02 6.427759e-02 3.026091e-02 5.757492e+07
5.470000e+02 6.414379e-02 3.030777e-02 5.627013e+07
5.480000e+02 6.402904e-02 3.037766e-02 5.490574e+07
5.490000e+02 6.400009e-02 3.046756e-02 5.351374e+07
5.500000e+02 6.399319e-02 3.053619e-02 5.225222e+07
5.510000e+02 6.396004e-02 3.058869e-02 5.106903e+07
5.520000e+02 6.380854e-02 3.067589e-02 4.980388e+07
5.530000e+02 6.365014e-02 3.077328e-02 4.854549e+07
5.540000e+02 6.378754e-02 3.084838e-02 4.741812e+07
5.550000e+02 6.385414e-02 3.091851e-02 4.633188e+07
5.560000e+02 6.344359e-02 3.100439e-02 4.519561e+07
5.570000e+02 6.329539e-02 3.111308e-02 4.405830e+07
5.580000e+02 6.370864e-02 3.121631e-02 4.300117e+07
5.590000e+02 6.366019e-02 3.128483e-02 4.203493e+07
5.600000e+02 6.299448e-02 3.136637e-02 4.105048e+07
5.610000e+02 6.310458e-02 3.150497e-02 3.997006e+07
5.620000e+02 6.356059e-02 3.162886e-02 3.898017e+07
5.630000e+02 6.330319e-02 3.168691e-02 3.816904e+07
5.640000e+02 6.280833e-02 3.177700e-02 3.727643e+07
5.650000e+02 6.292548e-02 3.194783e-02 3.624423e+07
5.660000e+02 6.313503e-02 3.207556e-02 3.536979e+07
5.670000e+02 6.317238e-02 3.214167e-02 3.464788e+07
5.680000e+02 6.277113e-02 3.225629e-02 3.381919e+07
5.690000e+02 6.246666e-02 3.241692e-02 3.291512e+07
5.700000e+02 6.282423e-02 3.256965e-02 3.210059e+07
5.710000e+02 6.320088e-02 3.267851e-02 3.139988e+07
5.720000e+02 6.247266e-02 3.276338e-02 3.071830e+07
5.730000e+02 6.215301e-02 3.293214e-02 2.991493e+07
5.740000e+02 6.263706e-02 3.313782e-02 2.909867e+07
5.750000e+02 6.289488e-02 3.325102e-02 2.847669e+07
5.760000e+02 6.243351e-02 3.333365e-02 2.790939e+07
5.770000e+02 6.201650e-02 3.351883e-02 2.715922e+07
5.780000e+02 6.208205e-02 3.373518e-02 2.641869e+07
5.790000e+02 6.271623e-02 3.389025e-02 2.582673e+07
5.800000e+02 6.253611e-02 3.398168e-02 2.531281e+07
5.810000e+02 6.158300e-02 3.413596e-02 2.470123e+07
5.820000e+02 6.179765e-02 3.438514e-02 2.399643e+07
5.830000e+02 6.249861e-02 3.458859e-02 2.340092e+07
5.840000e+02 6.232221e-02 3.467312e-02 2.297757e+07
5.850000e+02 6.166295e-02 3.482324e-02 2.244620e+07
5.860000e+02 6.140915e-02 3.508689e-02 2.179978e+07
5.870000e+02 6.190850e-02 3.531458e-02 2.125072e+07
5.880000e+02 6.242001e-02 3.546023e-02 2.081156e+07
5.890000e+02 6.163445e-02 3.558220e-02 2.039012e+07
5.900000e+02 6.099619e-02 3.581481e-02 1.985152e+07
5.910000e+02 6.161405e-02 3.612167e-02 1.927470e+07
5.920000e+02 6.201710e-02 3.629985e-02 1.886626e+07
5.930000e+02 6.184310e-02 3.641012e-02 1.851664e+07
5.940000e+02 6.099259e-02 3.664075e-02 1.804494e+07
5.950000e+02 6.091924e-02 3.693647e-02 1.754236e+07
5.960000e+02 6.179750e-02 3.719955e-02 1.710296e+07
5.970000e+02 6.183140e-02 3.735157e-02 1.677531e+07
5.980000e+02 6.101929e-02 3.751068e-02 1.642835e+07
5.990000e+02 6.070309e-02 3.783070e-02 1.596067e+07
6.000000e+02 6.104374e-02 3.814432e-02 1.553063e+07
