# energy[keV] vert_div_fwhm[mrad] vert_div_rms[mrad] flux[ph/s/0.1%/100mA]
9.900000e+01 1.641124e-01 6.324050e-02 2.302657e+12
1.000000e+02 1.631760e-01 6.293054e-02 2.253385e+12
1.010000e+02 1.622541e-01 6.262498e-02 2.205099e+12
1.020000e+02 1.613464e-01 6.232371e-02 2.157784e+12
1.030000e+02 1.604535e-01 6.202663e-02 2.111423e+12
1.040000e+02 1.595738e-01 6.173366e-02 2.065997e+12
1.050000e+02 1.587060e-01 6.144470e-02 2.021492e+12
1.060000e+02 1.578526e-01 6.115965e-02 1.977891e+12
1.070000e+02 1.570122e-01 6.087844e-02 1.935176e+12
1.080000e+02 1.561836e-01 6.060097e-02 1.893335e+12
1.090000e+02 1.553664e-01 6.032718e-02 1.852349e+12
1.100000e+02 1.545620e-01 6.005696e-02 1.812203e+12
1.110000e+02 1.537694e-01 5.979024e-02 1.772882e+12
1.120000e+02 1.529871e-01 5.952695e-02 1.734370e+12
1.130000e+02 1.522163e-01 5.926703e-02 1.696653e+12
1.140000e+02 1.514555e-01 5.901040e-02 1.659716e+12
1.150000e+02 1.507067e-01 5.875698e-02 1.623545e+12
1.160000e+02 1.499679e-01 5.850672e-02 1.588124e+12
1.170000e+02 1.492382e-01 5.825953e-02 1.553441e+12
1.180000e+02 1.485177e-01 5.801539e-02 1.519479e+12
1.190000e+02 1.478093e-01 5.777421e-02 1.486226e+12
1.200000e+02 1.471095e-01 5.753594e-02 1.453669e+12
1.210000e+02 1.464189e-01 5.730052e-02 1.421795e+12
1.220000e+02 1.457357e-01 5.706787e-02 1.390590e+12
1.230000e+02 1.450619e-01 5.683797e-02 1.360040e+12
1.240000e+02 1.443994e-01 5.661075e-02 1.330135e+12
1.250000e+02 1.437435e-01 5.638616e-02 1.300860e+12
1.260000e+02 1.430957e-01 5.616415e-02 1.272203e+12
1.270000e+02 1.424559e-01 5.594470e-02 1.244153e+12
1.280000e+02 1.418234e-01 5.572773e-02 1.216696e+12
1.290000e+02 1.412011e-01 5.551320e-02 1.189823e+12
1.300000e+02 1.405857e-01 5.530105e-02 1.163521e+12
1.310000e+02 1.399772e-01 5.509125e-02 1.137780e+12
1.320000e+02 1.393757e-01 5.488377e-02 1.112586e+12
1.330000e+02 1.387808e-01 5.467858e-02 1.087930e+12
1.340000e+02 1.381946e-01 5.447559e-02 1.063802e+12
1.350000e+02 1.376159e-01 5.427480e-02 1.040190e+12
1.360000e+02 1.370435e-01 5.407616e-02 1.017084e+12
1.370000e+02 1.364772e-01 5.387964e-02 9.944732e+11
1.380000e+02 1.359170e-01 5.368518e-02 9.723488e+11
1.390000e+02 1.353623e-01 5.349276e-02 9.507012e+11
1.400000e+02 1.348165e-01 5.330236e-02 9.295196e+11
1.410000e+02 1.342771e-01 5.311391e-02 9.087946e+11
1.420000e+02 1.337429e-01 5.292737e-02 8.885187e+11
1.430000e+02 1.332158e-01 5.274279e-02 8.686790e+11
1.440000e+02 1.326933e-01 5.256004e-02 8.492695e+11
1.450000e+02 1.321742e-01 5.237913e-02 8.302813e+11
1.460000e+02 1.316627e-01 5.220008e-02 8.117039e+11
1.470000e+02 1.311590e-01 5.202275e-02 7.935311e+11
1.480000e+02 1.306593e-01 5.184712e-02 7.757554e+11
1.490000e+02 1.301652e-01 5.167336e-02 7.583617e+11
1.500000e+02 1.296767e-01 5.150126e-02 7.413480e+11
1.510000e+02 1.291911e-01 5.133065e-02 7.247105e+11
1.520000e+02 1.287099e-01 5.116182e-02 7.084335e+11
1.530000e+02 1.282384e-01 5.099477e-02 6.925065e+11
1.540000e+02 1.277707e-01 5.082899e-02 6.769360e+11
1.550000e+02 1.273047e-01 5.066486e-02 6.617055e+11
1.560000e+02 1.268481e-01 5.050255e-02 6.468011e+11
1.570000e+02 1.263926e-01 5.034136e-02 6.322335e+11
1.580000e+02 1.259405e-01 5.018189e-02 6.179808e+11
1.590000e+02 1.254960e-01 5.002389e-02 6.040398e+11
1.600000e+02 1.250537e-01 4.986718e-02 5.904109e+11
1.610000e+02 1.246205e-01 4.971218e-02 5.770747e+11
1.620000e+02 1.241871e-01 4.955822e-02 5.640409e+11
1.630000e+02 1.237613e-01 4.940602e-02 5.512861e+11
1.640000e+02 1.233356e-01 4.925481e-02 5.388205e+11
1.650000e+02 1.229178e-01 4.910531e-02 5.266237e+11
1.660000e+02 1.224993e-01 4.895677e-02 5.147030e+11
1.670000e+02 1.220887e-01 4.880991e-02 5.030390e+11
1.680000e+02 1.216799e-01 4.866398e-02 4.916401e+11
1.690000e+02 1.212799e-01 4.851964e-02 4.804879e+11
1.700000e+02 1.208763e-01 4.837619e-02 4.695897e+11
1.710000e+02 1.204853e-01 4.823434e-02 4.589259e+11
1.720000e+02 1.200903e-01 4.809352e-02 4.485036e+11
1.730000e+02 1.197012e-01 4.795380e-02 4.383139e+11
1.740000e+02 1.193169e-01 4.781553e-02 4.283463e+11
1.750000e+02 1.189316e-01 4.767818e-02 4.186047e+11
1.760000e+02 1.185569e-01 4.754212e-02 4.090781e+11
1.770000e+02 1.181816e-01 4.740715e-02 3.997648e+11
1.780000e+02 1.178101e-01 4.727326e-02 3.906594e+11
