#Energy[eV]	Flux[ph/s/eV/100mA] 
2430.00	1.606676E+10 
2440.00	1.750874E+10 
2450.00	1.607114E+10 
2460.00	1.577239E+10 
2470.00	1.651112E+10 
2480.00	1.471858E+10 
2490.00	1.573156E+10 
2500.00	1.500308E+10 
2510.00	1.427792E+10 
2520.00	1.519685E+10 
2530.00	1.372718E+10 
2540.00	1.428956E+10 
2550.00	1.410138E+10 
2560.00	1.317802E+10 
2570.00	1.406975E+10 
2580.00	1.299252E+10 
2590.00	1.316249E+10 
2600.00	1.333874E+10 
2610.00	1.238432E+10 
2620.00	1.312340E+10 
2630.00	1.243889E+10 
2640.00	1.230839E+10 
2650.00	1.269216E+10 
2660.00	1.183684E+10 
2670.00	1.234737E+10 
2680.00	1.200684E+10 
2690.00	1.171257E+10 
2700.00	1.215669E+10 
2710.00	1.148427E+10 
2720.00	1.180162E+10 
2730.00	1.169205E+10 
2740.00	1.133056E+10 
2750.00	1.175359E+10 
2760.00	1.127053E+10 
2770.00	1.143541E+10 
2780.00	1.147722E+10 
2790.00	1.114533E+10 
2800.00	1.151100E+10 
2810.00	1.119562E+10 
2820.00	1.127853E+10 
2830.00	1.139909E+10 
2840.00	1.113827E+10 
2850.00	1.143888E+10 
2860.00	1.125909E+10 
2870.00	1.133302E+10 
2880.00	1.148342E+10 
2890.00	1.131142E+10 
2900.00	1.160132E+10 
2910.00	1.149924E+10 
2920.00	1.162774E+10 
2930.00	1.180128E+10 
2940.00	1.172216E+10 
2950.00	1.206203E+10 
2960.00	1.202066E+10 
2970.00	1.223965E+10 
2980.00	1.248374E+10 
2990.00	1.247239E+10 
3000.00	1.294123E+10 
3010.00	1.296957E+10 
3020.00	1.331338E+10 
3030.00	1.371930E+10 
3040.00	1.379558E+10 
3050.00	1.449792E+10 
3060.00	1.469622E+10 
3070.00	1.523530E+10 
3080.00	1.599198E+10 
3090.00	1.628153E+10 
3100.00	1.741124E+10 
3110.00	1.805797E+10 
3120.00	1.903395E+10 
3130.00	2.057153E+10 
3140.00	2.155397E+10 
3150.00	2.371791E+10 
3160.00	2.572362E+10 
3170.00	2.822102E+10 
3180.00	3.214738E+10 
3190.00	3.610589E+10 
3200.00	4.259080E+10 
3210.00	5.121462E+10 
3220.00	6.395646E+10 
3230.00	8.747669E+10 
3240.00	1.407410E+11 
3250.00	3.158915E+11 
3260.00	8.768349E+11 
3270.00	2.130659E+12 
3280.00	3.717629E+12 
3290.00	4.884757E+12 
3300.00	5.868146E+12 
3310.00	6.831038E+12 
3320.00	6.317158E+12 
3330.00	3.356292E+12 
3340.00	8.818097E+11 
3350.00	2.569409E+11 
3360.00	1.323733E+11 
3370.00	8.826012E+10 
3380.00	6.388614E+10 
3390.00	4.907002E+10 
3400.00	3.955517E+10 
3410.00	3.255896E+10 
3420.00	2.765683E+10 
3430.00	2.394298E+10 
3440.00	2.096799E+10 
3450.00	1.875972E+10 
3460.00	1.688185E+10 
3470.00	1.538069E+10 
3480.00	1.417625E+10 
3490.00	1.309757E+10 
3500.00	1.225565E+10 
3510.00	1.150528E+10 
3520.00	1.085391E+10 
3530.00	1.032562E+10 
3540.00	9.825355E+09 
3550.00	9.417342E+09 
3560.00	9.054496E+09 
3570.00	8.717396E+09 
3580.00	8.447066E+09 
3590.00	8.181238E+09 
3600.00	7.958493E+09 
3610.00	7.764543E+09 
3620.00	7.575003E+09 
3630.00	7.424422E+09 
3640.00	7.275481E+09 
3650.00	7.144860E+09 
3660.00	7.037492E+09 
3670.00	6.926834E+09 
3680.00	6.841909E+09 
3690.00	6.759529E+09 
3700.00	6.682245E+09 
3710.00	6.623489E+09 
3720.00	6.563254E+09 
3730.00	6.515425E+09 
3740.00	6.472891E+09 
3750.00	6.433065E+09 
3760.00	6.406069E+09 
3770.00	6.377681E+09 
3780.00	6.356666E+09 
3790.00	6.343393E+09 
3800.00	6.328550E+09 
3810.00	6.325317E+09 
3820.00	6.321697E+09 
3830.00	6.320463E+09 
3840.00	6.329003E+09 
3850.00	6.333510E+09 
3860.00	6.349220E+09 
3870.00	6.364855E+09 
3880.00	6.381568E+09 
3890.00	6.407787E+09 
3900.00	6.429818E+09 
3910.00	6.459607E+09 
3920.00	6.493515E+09 
3930.00	6.528232E+09 
3940.00	6.570425E+09 
3950.00	6.611083E+09 
3960.00	6.657110E+09 
3970.00	6.707292E+09 
3980.00	6.757590E+09 
3990.00	6.815834E+09 
4000.00	6.872325E+09 
4010.00	6.936661E+09 
4020.00	7.002795E+09 
4030.00	7.069403E+09 
4040.00	7.145846E+09 
4050.00	7.222804E+09 
4060.00	7.303701E+09 
4070.00	7.390383E+09 
4080.00	7.477030E+09 
4090.00	7.572399E+09 
4100.00	7.670711E+09 
4110.00	7.773089E+09 
4120.00	7.882187E+09 
4130.00	7.992541E+09 
4140.00	8.112106E+09 
4150.00	8.236012E+09 
4160.00	8.361858E+09 
4170.00	8.500114E+09 
4180.00	8.637702E+09 
4190.00	8.786066E+09 
4200.00	8.939763E+09 
4210.00	9.097840E+09 
4220.00	9.269011E+09 
4230.00	9.442370E+09 
4240.00	9.626546E+09 
4250.00	9.820982E+09 
4260.00	1.001747E+10 
4270.00	1.023181E+10 
4280.00	1.045107E+10 
4290.00	1.068105E+10 
4300.00	1.092622E+10 
4310.00	1.117642E+10 
4320.00	1.144548E+10 
4330.00	1.172368E+10 
4340.00	1.201533E+10 
4350.00	1.232806E+10 
4360.00	1.264634E+10 
4370.00	1.299258E+10 
4380.00	1.335301E+10 
4390.00	1.372796E+10 
4400.00	1.413454E+10 
4410.00	1.455188E+10 
4420.00	1.499981E+10 
4430.00	1.547681E+10 
4440.00	1.596942E+10 
4450.00	1.650448E+10 
4460.00	1.706382E+10 
4470.00	1.765894E+10 
4480.00	1.829885E+10 
4490.00	1.896596E+10 
4500.00	1.969137E+10 
4510.00	2.045992E+10 
4520.00	2.127568E+10 
4530.00	2.216414E+10 
4540.00	2.309763E+10 
4550.00	2.411244E+10 
4560.00	2.520410E+10 
4570.00	2.636791E+10 
4580.00	2.764604E+10 
4590.00	2.900891E+10 
4600.00	3.049629E+10 
4610.00	3.212006E+10 
4620.00	3.386686E+10 
4630.00	3.580175E+10 
4640.00	3.790335E+10 
4650.00	4.021258E+10 
4660.00	4.277576E+10 
4670.00	4.558018E+10 
4680.00	4.872237E+10 
4690.00	5.221240E+10 
4700.00	5.610240E+10 
4710.00	6.051508E+10 
4720.00	6.545934E+10 
4730.00	7.110589E+10 
4740.00	7.756925E+10 
4750.00	8.497032E+10 
4760.00	9.361955E+10 
4770.00	1.036938E+11 
4780.00	1.156160E+11 
4790.00	1.299063E+11 
4800.00	1.471386E+11 
4810.00	1.684380E+11 
4820.00	1.951132E+11 
4830.00	2.294083E+11 
4840.00	2.752410E+11 
4850.00	3.399617E+11 
4860.00	4.426842E+11 
4870.00	6.395170E+11 
4880.00	1.102432E+12 
4890.00	2.304738E+12 
4900.00	5.294882E+12 
4910.00	1.141478E+13 
4920.00	2.002184E+13 
4930.00	2.766726E+13 
4940.00	3.299005E+13 
4950.00	3.797466E+13 
4960.00	4.449504E+13 
4970.00	5.320977E+13 
4980.00	6.198913E+13 
4990.00	6.090790E+13 
5000.00	3.992225E+13 
5010.00	1.493244E+13 
5020.00	4.011912E+12 
5030.00	1.602978E+12 
5040.00	9.705496E+11 
5050.00	6.759514E+11 
5060.00	5.043611E+11 
5070.00	3.932359E+11 
5080.00	3.159548E+11 
5090.00	2.603722E+11 
5100.00	2.184493E+11 
5110.00	1.860573E+11 
5120.00	1.606882E+11 
5130.00	1.400786E+11 
5140.00	1.233673E+11 
5150.00	1.095287E+11 
5160.00	9.784287E+10 
5170.00	8.807394E+10 
5180.00	7.963760E+10 
5190.00	7.239811E+10 
5200.00	6.615871E+10 
5210.00	6.063374E+10 
5220.00	5.585045E+10 
5230.00	5.159329E+10 
5240.00	4.780102E+10 
5250.00	4.446399E+10 
5260.00	4.142355E+10 
5270.00	3.872474E+10 
5280.00	3.628599E+10 
5290.00	3.405170E+10 
5300.00	3.206107E+10 
5310.00	3.021530E+10 
5320.00	2.854148E+10 
5330.00	2.701909E+10 
5340.00	2.559541E+10 
5350.00	2.431296E+10 
5360.00	2.311336E+10 
5370.00	2.200479E+10 
5380.00	2.099446E+10 
5390.00	2.003370E+10 
5400.00	1.916048E+10 
5410.00	1.833968E+10 
5420.00	1.756841E+10 
5430.00	1.686384E+10 
5440.00	1.618868E+10 
5450.00	1.556590E+10 
5460.00	1.498384E+10 
5470.00	1.442689E+10 
5480.00	1.391755E+10 
5490.00	1.342792E+10 
5500.00	1.296829E+10 
5510.00	1.254259E+10 
5520.00	1.212882E+10 
5530.00	1.174854E+10 
5540.00	1.138478E+10 
5550.00	1.103786E+10 
5560.00	1.071748E+10 
5570.00	1.040390E+10 
5580.00	1.011443E+10 
5590.00	9.837521E+09 
5600.00	9.571896E+09 
5610.00	9.326028E+09 
5620.00	9.085262E+09 
5630.00	8.860258E+09 
5640.00	8.648032E+09 
5650.00	8.439533E+09 
5660.00	8.248639E+09 
5670.00	8.062026E+09 
5680.00	7.884784E+09 
5690.00	7.719092E+09 
5700.00	7.556090E+09 
5710.00	7.405938E+09 
5720.00	7.259734E+09 
5730.00	7.120348E+09 
5740.00	6.990996E+09 
5750.00	6.863315E+09 
5760.00	6.744368E+09 
5770.00	6.630727E+09 
5780.00	6.521096E+09 
5790.00	6.420577E+09 
5800.00	6.320619E+09 
5810.00	6.228337E+09 
5820.00	6.142136E+09 
5830.00	6.056807E+09 
5840.00	5.977580E+09 
5850.00	5.903187E+09 
5860.00	5.831279E+09 
5870.00	5.766648E+09 
5880.00	5.702390E+09 
5890.00	5.645016E+09 
5900.00	5.590473E+09 
5910.00	5.538378E+09 
5920.00	5.493131E+09 
5930.00	5.448960E+09 
5940.00	5.409051E+09 
5950.00	5.373912E+09 
5960.00	5.339647E+09 
5970.00	5.313067E+09 
5980.00	5.286590E+09 
5990.00	5.265320E+09 
6000.00	5.249105E+09 
6010.00	5.233345E+09 
6020.00	5.223995E+09 
6030.00	5.218417E+09 
6040.00	5.216185E+09 
6050.00	5.220793E+09 
6060.00	5.225705E+09 
6070.00	5.237238E+09 
6080.00	5.254186E+09 
6090.00	5.274697E+09 
6100.00	5.302516E+09 
6110.00	5.332351E+09 
6120.00	5.370673E+09 
6130.00	5.415358E+09 
6140.00	5.464809E+09 
6150.00	5.521372E+09 
6160.00	5.585826E+09 
6170.00	5.658399E+09 
6180.00	5.740079E+09 
6190.00	5.830060E+09 
6200.00	5.930687E+09 
6210.00	6.044025E+09 
6220.00	6.167503E+09 
6230.00	6.305835E+09 
6240.00	6.458962E+09 
6250.00	6.628367E+09 
6260.00	6.817948E+09 
6270.00	7.025818E+09 
6280.00	7.259724E+09 
6290.00	7.519383E+09 
6300.00	7.808965E+09 
6310.00	8.133787E+09 
6320.00	8.497743E+09 
6330.00	8.908975E+09 
6340.00	9.373800E+09 
6350.00	9.902084E+09 
6360.00	1.050670E+10 
6370.00	1.119999E+10 
6380.00	1.200226E+10 
6390.00	1.293933E+10 
6400.00	1.404042E+10 
6410.00	1.535302E+10 
6420.00	1.693440E+10 
6430.00	1.887904E+10 
6440.00	2.133583E+10 
6450.00	2.457775E+10 
6460.00	2.919880E+10 
6470.00	3.659662E+10 
6480.00	5.020959E+10 
6490.00	7.811205E+10 
6500.00	1.373948E+11 
6510.00	2.587773E+11 
6520.00	4.854499E+11 
6530.00	8.564546E+11 
6540.00	1.371702E+12 
6550.00	1.961617E+12 
6560.00	2.511514E+12 
6570.00	2.951413E+12 
6580.00	3.314106E+12 
6590.00	3.687236E+12 
6600.00	4.137246E+12 
6610.00	4.670528E+12 
6620.00	5.195484E+12 
6630.00	5.479339E+12 
6640.00	5.188971E+12 
6650.00	4.127481E+12 
6660.00	2.570759E+12 
6670.00	1.200939E+12 
6680.00	4.459731E+11 
6690.00	1.718913E+11 
6700.00	9.304130E+10 
6710.00	6.432429E+10 
6720.00	4.896811E+10 
6730.00	3.907291E+10 
6740.00	3.215973E+10 
6750.00	2.708753E+10 
6760.00	2.323012E+10 
6770.00	2.021745E+10 
6780.00	1.781235E+10 
6790.00	1.585892E+10 
6800.00	1.424764E+10 
6810.00	1.290203E+10 
6820.00	1.176579E+10 
6830.00	1.079696E+10 
6840.00	9.964082E+09 
6850.00	9.243066E+09 
6860.00	8.613638E+09 
6870.00	8.062304E+09 
6880.00	7.576082E+09 
6890.00	7.144707E+09 
6900.00	6.761166E+09 
6910.00	6.418449E+09 
6920.00	6.111097E+09 
6930.00	5.834702E+09 
6940.00	5.584756E+09 
6950.00	5.358846E+09 
6960.00	5.153874E+09 
6970.00	4.968158E+09 
6980.00	4.798368E+09 
6990.00	4.643477E+09 
7000.00	4.502368E+09 
7010.00	4.373240E+09 
7020.00	4.255008E+09 
7030.00	4.146626E+09 
7040.00	4.046859E+09 
7050.00	3.954807E+09 
7060.00	3.871607E+09 
7070.00	3.794217E+09 
7080.00	3.723839E+09 
7090.00	3.658700E+09 
7100.00	3.599756E+09 
