100;0;;;;;
200;0;;;;;
300;0;;;;;
400;0;;;;;
500;0;;;;;
600;0;;;;;
700;0;;;;;
800;0;;;;;
900;0;;;;;
1000;0;;;;;
1100;0;;;;;
1200;0;;;;;
1300;0;;;;;
1400;0;;;;;
1500;0;;;;;
1600;1.4937E-296;;;;;
1700;2.8156E-250;;;;;
1800;2.8877E-213;;;;;
1900;0;;;;;
2000;0;;;;;
2100;0;;;;;
2200;0;;;;;
2300;0;;;;;
2400;0;;;;;
2500;0;;;;;
2600;0;;;;;
2700;0;;;;;
2800;0;;;;;
2900;0;;;;;
3000;0;;;;;
3100;0;;;;;
3200;0;;;;;
3300;0;;;;;
3400;0;;;;;
3500;0;;;;;
3600;0;;;;;
3700;0;;;;;
3800;0;;;;;
3900;0;;;;;
4000;0;;;;;
4100;4.3279E-287;;;;;
4200;6.1249E-268;;;;;
4300;1.1139E-249;;;;;
4400;1.5406E-233;;;;;
4500;8.62E-219;;;;;
4600;1.0948E-204;;;;;
4700;3.3655E-192;;;;;
4800;9.6388E-181;;;;;
4900;9.349E-170;;;;;
5000;9.1701E-160;;;;;
5100;8.6244E-151;;;;;
5200;3.6696E-142;;;;;
5300;6.6546E-134;;;;;
5400;7.9815E-127;;;;;
5500;5.3644E-120;;;;;
5600;1.9979E-113;;;;;
5700;2.3273E-107;;;;;
5800;6.2242E-102;;;;;
5900;1.08251E-96;;;;;
6000;1.25667E-91;;;;;
6100;5.40154E-87;;;;;
6200;8.56429E-83;;;;;
6300;9.94943E-79;;;;;
6400;8.63959E-75;;;;;
6500;4.15905E-71;;;;;
6600;7.86362E-68;;;;;
6700;1.19521E-64;;;;;
6800;1.45493E-61;;;;;
6900;1.4591E-58;;;;;
7000;6.17752E-56;;;;;
7100;1.96928E-53;;;;;
7200;5.40726E-51;;;;;
7300;1.2657E-48;;;;;
7400;2.42921E-46;;;;;
7500;2.34421E-44;;;;;
7600;2.01819E-42;;;;;
7700;1.54918E-40;;;;;
7800;1.06016E-38;;;;;
7900;6.50856E-37;;;;;
8000;2.54508E-35;;;;;
8100;8.94933E-34;;;;;
