     Energy       Flux            PL            PC          PL45   Filtered
         eV  ph/s/0.1%             -             -             -          -
7.00000e+03  3.843e+12  8.510863e-01  0.000000e+00  0.000000e+00  3.703e+12
7.10000e+03  3.861e+12  8.505850e-01  0.000000e+00  0.000000e+00  3.720e+12
7.20000e+03  3.878e+12  8.500951e-01  0.000000e+00  0.000000e+00  3.737e+12
7.30000e+03  3.895e+12  8.496164e-01  0.000000e+00  0.000000e+00  3.753e+12
7.40000e+03  3.912e+12  8.491485e-01  0.000000e+00  0.000000e+00  3.768e+12
7.50000e+03  3.928e+12  8.486912e-01  0.000000e+00  0.000000e+00  3.782e+12
7.60000e+03  3.944e+12  8.482442e-01  0.000000e+00  0.000000e+00  3.795e+12
7.70000e+03  3.959e+12  8.478073e-01  0.000000e+00  0.000000e+00  3.808e+12
7.80000e+03  3.974e+12  8.473802e-01  0.000000e+00  0.000000e+00  3.821e+12
7.90000e+03  3.989e+12  8.469627e-01  0.000000e+00  0.000000e+00  3.833e+12
8.00000e+03  4.003e+12  8.465545e-01  0.000000e+00  0.000000e+00  3.842e+12
8.10000e+03  4.016e+12  8.461556e-01  0.000000e+00  0.000000e+00  3.849e+12
8.20000e+03  4.029e+12  8.457655e-01  0.000000e+00  0.000000e+00  3.852e+12
8.30000e+03  4.042e+12  8.453842e-01  0.000000e+00  0.000000e+00  3.836e+12
8.40000e+03  4.054e+12  8.450115e-01  0.000000e+00  0.000000e+00  2.764e+12
8.50000e+03  4.066e+12  8.446470e-01  0.000000e+00  0.000000e+00  2.872e+12
8.60000e+03  4.078e+12  8.442908e-01  0.000000e+00  0.000000e+00  2.897e+12
8.70000e+03  4.089e+12  8.439425e-01  0.000000e+00  0.000000e+00  2.921e+12
8.80000e+03  4.100e+12  8.436021e-01  0.000000e+00  0.000000e+00  2.946e+12
8.90000e+03  4.110e+12  8.432693e-01  0.000000e+00  0.000000e+00  2.970e+12
9.00000e+03  4.120e+12  8.429440e-01  0.000000e+00  0.000000e+00  2.994e+12
9.10000e+03  4.130e+12  8.426259e-01  0.000000e+00  0.000000e+00  3.004e+12
9.20000e+03  4.139e+12  8.423151e-01  0.000000e+00  0.000000e+00  3.008e+12
9.30000e+03  4.148e+12  8.420113e-01  0.000000e+00  0.000000e+00  3.012e+12
9.40000e+03  4.156e+12  8.417143e-01  0.000000e+00  0.000000e+00  3.015e+12
9.50000e+03  4.165e+12  8.414241e-01  0.000000e+00  0.000000e+00  3.017e+12
9.60000e+03  4.173e+12  8.411404e-01  0.000000e+00  0.000000e+00  3.020e+12
9.70000e+03  4.180e+12  8.408632e-01  0.000000e+00  0.000000e+00  3.018e+12
9.80000e+03  4.187e+12  8.405924e-01  0.000000e+00  0.000000e+00  3.013e+12
9.90000e+03  4.194e+12  8.403277e-01  0.000000e+00  0.000000e+00  3.007e+12
1.00000e+04  4.201e+12  8.400691e-01  0.000000e+00  0.000000e+00  3.000e+12
1.01000e+04  4.207e+12  8.398165e-01  0.000000e+00  0.000000e+00  2.991e+12
1.02000e+04  4.213e+12  8.395697e-01  0.000000e+00  0.000000e+00  2.982e+12
1.03000e+04  4.219e+12  8.393286e-01  0.000000e+00  0.000000e+00  2.971e+12
1.04000e+04  4.224e+12  8.390932e-01  0.000000e+00  0.000000e+00  2.954e+12
1.05000e+04  4.230e+12  8.388632e-01  0.000000e+00  0.000000e+00  2.934e+12
1.06000e+04  4.234e+12  8.386387e-01  0.000000e+00  0.000000e+00  2.912e+12
1.07000e+04  4.239e+12  8.384195e-01  0.000000e+00  0.000000e+00  2.886e+12
1.08000e+04  4.243e+12  8.382055e-01  0.000000e+00  0.000000e+00  2.858e+12
1.09000e+04  4.247e+12  8.379966e-01  0.000000e+00  0.000000e+00  2.825e+12
1.10000e+04  4.251e+12  8.377927e-01  0.000000e+00  0.000000e+00  2.788e+12
1.11000e+04  4.254e+12  8.375937e-01  0.000000e+00  0.000000e+00  2.741e+12
1.12000e+04  4.258e+12  8.373995e-01  0.000000e+00  0.000000e+00  2.686e+12
1.13000e+04  4.261e+12  8.372101e-01  0.000000e+00  0.000000e+00  2.621e+12
1.14000e+04  4.263e+12  8.370254e-01  0.000000e+00  0.000000e+00  2.546e+12
1.15000e+04  4.266e+12  8.368452e-01  0.000000e+00  0.000000e+00  2.459e+12
1.16000e+04  4.268e+12  8.366695e-01  0.000000e+00  0.000000e+00  2.357e+12
1.17000e+04  4.270e+12  8.364983e-01  0.000000e+00  0.000000e+00  2.239e+12
1.18000e+04  4.272e+12  8.363313e-01  0.000000e+00  0.000000e+00  2.105e+12
1.19000e+04  4.273e+12  8.361686e-01  0.000000e+00  0.000000e+00  1.953e+12
1.20000e+04  4.274e+12  8.360102e-01  0.000000e+00  0.000000e+00  1.795e+12
1.21000e+04  4.275e+12  8.358558e-01  0.000000e+00  0.000000e+00  1.640e+12
1.22000e+04  4.276e+12  8.357054e-01  0.000000e+00  0.000000e+00  1.495e+12
1.23000e+04  4.277e+12  8.355591e-01  0.000000e+00  0.000000e+00  1.363e+12
1.24000e+04  4.277e+12  8.354166e-01  0.000000e+00  0.000000e+00  1.245e+12
1.25000e+04  4.277e+12  8.352780e-01  0.000000e+00  0.000000e+00  1.140e+12
1.26000e+04  4.277e+12  8.351432e-01  0.000000e+00  0.000000e+00  1.048e+12
1.27000e+04  4.277e+12  8.350120e-01  0.000000e+00  0.000000e+00  9.650e+11
1.28000e+04  4.276e+12  8.348845e-01  0.000000e+00  0.000000e+00  8.916e+11
1.29000e+04  4.276e+12  8.347606e-01  0.000000e+00  0.000000e+00  8.264e+11
1.30000e+04  4.275e+12  8.346403e-01  0.000000e+00  0.000000e+00  7.682e+11
1.31000e+04  4.274e+12  8.345234e-01  0.000000e+00  0.000000e+00  7.160e+11
1.32000e+04  4.273e+12  8.344099e-01  0.000000e+00  0.000000e+00  6.689e+11
1.33000e+04  4.271e+12  8.342998e-01  0.000000e+00  0.000000e+00  6.264e+11
1.34000e+04  4.270e+12  8.341929e-01  0.000000e+00  0.000000e+00  5.878e+11
1.35000e+04  4.268e+12  8.340894e-01  0.000000e+00  0.000000e+00  5.525e+11
1.36000e+04  4.266e+12  8.339890e-01  0.000000e+00  0.000000e+00  5.201e+11
1.37000e+04  4.264e+12  8.338918e-01  0.000000e+00  0.000000e+00  4.904e+11
1.38000e+04  4.261e+12  8.337977e-01  0.000000e+00  0.000000e+00  4.631e+11
1.39000e+04  4.259e+12  8.337066e-01  0.000000e+00  0.000000e+00  4.379e+11
1.40000e+04  4.256e+12  8.336185e-01  0.000000e+00  0.000000e+00  4.147e+11
