#Energy[eV]	Flux[ph/s/100mA] 
5000.000	1.526750E+13 
15000.000	1.347196E+11 
20000.000	4.430517E+09 
25000.000	1.227937E+08 
35000.000	8.676003E+05 
40000.000	1.870196E+05 
45000.000	1.550000E+04 
55000.000	5.868104E+02 
60000.000	1.702236E+02 
65000.000	2.720099E+01 
75000.000	1.728128E+00 
80000.000	3.726238E-01 
85000.000	1.004534E-01 
95000.000	4.007839E-03 
100000.000	1.573784E-03 
105000.000	3.182219E-04 
115000.000	2.815610E-05 
120000.000	9.408459E-06 
125000.000	1.521096E-06 
135000.000	1.660044E-07 
140000.000	6.664305E-08 
145000.000	2.059976E-08 
155000.000	1.324992E-09 
160000.000	7.434392E-10 
165000.000	4.291200E-10 
175000.000	2.248886E-10 
180000.000	1.681340E-10 
185000.000	2.310211E-10 
195000.000	7.233219E-12 
200000.000	1.117398E-10 
205000.000	6.048500E-11 
215000.000	2.088468E-14 
220000.000	1.618438E-12 
225000.000	5.420383E-13 
235000.000	1.589754E-11 
240000.000	4.719419E-14 
245000.000	6.875120E-16 
255000.000	1.501033E-12 
260000.000	7.337543E-13 
265000.000	1.675368E-14 
275000.000	1.707290E-14 
280000.000	4.969999E-13 
285000.000	1.159979E-16 
295000.000	2.034797E-19 
300000.000	3.910609E-19 
305000.000	3.403917E-20 
315000.000	6.476235E-21 
320000.000	2.065856E-20 
325000.000	2.711700E-21 
335000.000	2.125901E-21 
