#Energy[eV]	Flux[ph/s/100mA] 
2500.000	1.321817E+11 
7500.000	1.254823E+10 
10000.000	2.271874E+08 
12500.000	1.391904E+08 
17500.000	2.412651E+02 
20000.000	8.319821E-01 
22500.000	2.245191E-02 
27500.000	3.983697E-05 
30000.000	3.013406E-06 
32500.000	1.726656E-07 
37500.000	1.337327E-09 
40000.000	3.048591E-10 
42500.000	1.756023E-11 
47500.000	3.404030E-13 
50000.000	1.286315E-13 
