# Energy[eV]	Flux[ph/s/100mA]	Power[W/100mA]	Resolution	Resolution_Filtered	Harmonic
1.233600E+04 2.318224E+13 4.581823E-02 1.611753E-04 1.627262E-04 1.000000E+00
3.700800E+04 3.240227E+10 1.921237E-04 1.113115E-04 1.107922E-04 3.000000E+00
4.934400E+04 1.770491E+09 1.399710E-05 1.070658E-04 1.086532E-04 4.000000E+00
6.168000E+04 1.517019E+08 1.499151E-06 1.051687E-04 1.082503E-04 5.000000E+00
8.635200E+04 1.521030E+06 2.104358E-08 8.741576E-05 1.051927E-04 7.000000E+00
9.868800E+04 2.429340E+05 3.841156E-09 9.809015E-05 1.081184E-04 8.000000E+00
1.110240E+05 1.939792E+04 3.450498E-10 4.203043E-05 1.055552E-04 9.000000E+00
1.356960E+05 3.492127E+02 7.592173E-12 7.177307E-05 1.007838E-04 1.100000E+01
1.480320E+05 5.953734E+01 1.412071E-12 5.702707E-05 1.127142E-04 1.200000E+01
1.603680E+05 6.415411E+00 1.648360E-13 6.543552E-05 1.088369E-04 1.300000E+01
1.850400E+05 1.110708E-01 3.292868E-15 3.330089E-05 1.010243E-04 1.500000E+01
1.973760E+05 2.279629E-02 7.208866E-16 1.943480E-05 1.344837E-04 1.600000E+01
