#Energy[eV]	Flux[ph/s/0.1%bw/100mA] 
2040.00	7.343944E+10 
2050.00	7.440924E+10 
2060.00	7.431850E+10 
2070.00	7.522457E+10 
2080.00	7.558015E+10 
2090.00	7.589691E+10 
2100.00	7.690095E+10 
2110.00	7.681484E+10 
2120.00	7.789777E+10 
2130.00	7.815790E+10 
2140.00	7.860725E+10 
2150.00	7.962187E+10 
2160.00	7.956676E+10 
2170.00	8.077631E+10 
2180.00	8.094940E+10 
2190.00	8.159249E+10 
2200.00	8.254932E+10 
2210.00	8.256981E+10 
2220.00	8.388323E+10 
2230.00	8.401606E+10 
2240.00	8.483875E+10 
2250.00	8.576743E+10 
2260.00	8.583881E+10 
2270.00	8.729983E+10 
2280.00	8.735949E+10 
2290.00	8.842050E+10 
2300.00	8.929280E+10 
2310.00	8.947429E+10 
2320.00	9.104480E+10 
2330.00	9.105001E+10 
2340.00	9.233485E+10 
2350.00	9.315590E+10 
2360.00	9.348189E+10 
2370.00	9.514416E+10 
2380.00	9.512736E+10 
2390.00	9.663435E+10 
2400.00	9.733205E+10 
2410.00	9.789130E+10 
2420.00	9.960262E+10 
2430.00	9.958783E+10 
2440.00	1.013731E+11 
2450.00	1.019700E+11 
2460.00	1.027981E+11 
2470.00	1.045350E+11 
2480.00	1.046318E+11 
2490.00	1.065998E+11 
2500.00	1.071161E+11 
2510.00	1.082238E+11 
2520.00	1.099445E+11 
2530.00	1.100413E+11 
2540.00	1.123858E+11 
2550.00	1.127891E+11 
2560.00	1.142410E+11 
2570.00	1.159678E+11 
2580.00	1.162189E+11 
2590.00	1.187533E+11 
2600.00	1.191075E+11 
2610.00	1.208948E+11 
2620.00	1.226056E+11 
2630.00	1.230783E+11 
2640.00	1.258474E+11 
2650.00	1.261409E+11 
2660.00	1.283812E+11 
2670.00	1.300053E+11 
2680.00	1.307979E+11 
2690.00	1.337455E+11 
2700.00	1.340528E+11 
2710.00	1.367629E+11 
2720.00	1.383005E+11 
2730.00	1.394268E+11 
2740.00	1.425922E+11 
2750.00	1.429138E+11 
2760.00	1.461233E+11 
2770.00	1.475769E+11 
2780.00	1.491687E+11 
2790.00	1.524904E+11 
2800.00	1.529484E+11 
2810.00	1.566833E+11 
2820.00	1.580347E+11 
2830.00	1.602115E+11 
2840.00	1.636521E+11 
2850.00	1.643369E+11 
2860.00	1.685761E+11 
2870.00	1.698676E+11 
2880.00	1.727189E+11 
2890.00	1.762853E+11 
2900.00	1.772789E+11 
2910.00	1.821117E+11 
2920.00	1.833626E+11 
2930.00	1.870032E+11 
2940.00	1.906538E+11 
2950.00	1.921153E+11 
2960.00	1.975807E+11 
2970.00	1.988690E+11 
2980.00	2.034464E+11 
2990.00	2.071389E+11 
3000.00	2.092850E+11 
3010.00	2.153482E+11 
3020.00	2.167760E+11 
3030.00	2.224076E+11 
3040.00	2.261815E+11 
3050.00	2.291729E+11 
3060.00	2.358687E+11 
3070.00	2.376200E+11 
3080.00	2.444124E+11 
3090.00	2.483369E+11 
3100.00	2.524352E+11 
3110.00	2.598027E+11 
3120.00	2.620274E+11 
3130.00	2.702300E+11 
3140.00	2.742863E+11 
3150.00	2.798101E+11 
3160.00	2.879145E+11 
3170.00	2.908766E+11 
3180.00	3.006734E+11 
3190.00	3.050532E+11 
3200.00	3.123634E+11 
3210.00	3.212878E+11 
3220.00	3.253783E+11 
3230.00	3.369777E+11 
3240.00	3.419101E+11 
3250.00	3.514661E+11 
3260.00	3.612921E+11 
3270.00	3.669967E+11 
3280.00	3.807899E+11 
3290.00	3.865401E+11 
3300.00	3.988993E+11 
3310.00	4.099706E+11 
3320.00	4.179102E+11 
3330.00	4.342202E+11 
3340.00	4.413517E+11 
3350.00	4.572881E+11 
3360.00	4.698964E+11 
3370.00	4.810522E+11 
3380.00	5.005289E+11 
3390.00	5.097796E+11 
3400.00	5.303073E+11 
3410.00	5.451295E+11 
3420.00	5.607378E+11 
3430.00	5.842280E+11 
3440.00	5.967888E+11 
3450.00	6.233364E+11 
3460.00	6.414458E+11 
3470.00	6.633404E+11 
3480.00	6.922127E+11 
3490.00	7.099720E+11 
3500.00	7.447227E+11 
3510.00	7.679670E+11 
3520.00	7.993034E+11 
3530.00	8.362009E+11 
3540.00	8.627530E+11 
3550.00	9.099694E+11 
3560.00	9.425252E+11 
3570.00	9.892947E+11 
3580.00	1.039823E+12 
3590.00	1.082532E+12 
3600.00	1.150580E+12 
3610.00	1.201819E+12 
3620.00	1.276780E+12 
3630.00	1.355178E+12 
3640.00	1.433599E+12 
3650.00	1.547019E+12 
3660.00	1.647415E+12 
3670.00	1.791487E+12 
3680.00	1.947092E+12 
3690.00	2.125177E+12 
3700.00	2.362578E+12 
3710.00	2.608510E+12 
3720.00	2.943567E+12 
3730.00	3.324993E+12 
3740.00	3.794371E+12 
3750.00	4.400720E+12 
3760.00	5.110118E+12 
3770.00	6.053993E+12 
3780.00	7.192616E+12 
3790.00	8.626429E+12 
3800.00	1.042393E+13 
3810.00	1.258889E+13 
3820.00	1.534654E+13 
3830.00	1.871557E+13 
3840.00	2.297005E+13 
3850.00	2.828628E+13 
3860.00	3.479073E+13 
3870.00	4.287283E+13 
3880.00	5.267190E+13 
3890.00	6.479680E+13 
3900.00	7.965269E+13 
3910.00	9.768558E+13 
3920.00	1.197162E+14 
3930.00	1.462460E+14 
3940.00	1.785211E+14 
3950.00	2.174230E+14 
3960.00	2.643547E+14 
3970.00	3.213668E+14 
3980.00	3.904976E+14 
3990.00	4.762964E+14 
4000.00	5.851870E+14 
4010.00	7.261885E+14 
4020.00	8.925823E+14 
4030.00	1.047488E+15 
4040.00	1.159898E+15 
4050.00	1.232192E+15 
4060.00	1.287068E+15 
4070.00	1.334000E+15 
4080.00	1.368527E+15 
4090.00	1.380221E+15 
4100.00	1.252455E+15 
4110.00	8.610265E+14 
4120.00	3.881454E+14 
4130.00	1.246880E+14 
4140.00	5.804488E+13 
4150.00	3.850506E+13 
4160.00	2.691974E+13 
4170.00	2.156128E+13 
4180.00	1.653799E+13 
4190.00	1.398921E+13 
4200.00	1.158407E+13 
4210.00	9.819801E+12 
4220.00	8.671164E+12 
4230.00	7.361860E+12 
4240.00	6.683482E+12 
4250.00	5.840018E+12 
4260.00	5.254419E+12 
4270.00	4.793496E+12 
