#Energy[eV]	Flux[ph/s/0.1%bw/100mA] 
2060.00	1.233159E+11 
2070.00	1.245883E+11 
2080.00	1.253102E+11 
2090.00	1.259646E+11 
2100.00	1.273146E+11 
2110.00	1.276245E+11 
2120.00	1.290794E+11 
2130.00	1.297257E+11 
2140.00	1.306156E+11 
2150.00	1.320056E+11 
2160.00	1.323545E+11 
2170.00	1.339832E+11 
2180.00	1.346489E+11 
2190.00	1.357096E+11 
2200.00	1.371423E+11 
2210.00	1.375994E+11 
2220.00	1.393806E+11 
2230.00	1.399822E+11 
2240.00	1.412627E+11 
2250.00	1.427186E+11 
2260.00	1.432987E+11 
2270.00	1.452298E+11 
2280.00	1.458542E+11 
2290.00	1.474264E+11 
2300.00	1.488649E+11 
2310.00	1.496372E+11 
2320.00	1.517128E+11 
2330.00	1.523769E+11 
2340.00	1.541891E+11 
2350.00	1.556033E+11 
2360.00	1.565874E+11 
2370.00	1.588512E+11 
2380.00	1.595072E+11 
2390.00	1.616151E+11 
2400.00	1.630348E+11 
2410.00	1.642877E+11 
2420.00	1.666752E+11 
2430.00	1.673581E+11 
2440.00	1.698693E+11 
2450.00	1.712137E+11 
2460.00	1.727516E+11 
2470.00	1.752359E+11 
2480.00	1.761070E+11 
2490.00	1.789032E+11 
2500.00	1.802798E+11 
2510.00	1.822049E+11 
2520.00	1.847752E+11 
2530.00	1.857969E+11 
2540.00	1.889158E+11 
2550.00	1.903139E+11 
2560.00	1.925831E+11 
2570.00	1.953148E+11 
2580.00	1.965522E+11 
2590.00	2.000451E+11 
2600.00	2.014582E+11 
2610.00	2.042635E+11 
2620.00	2.070358E+11 
2630.00	2.086451E+11 
2640.00	2.124536E+11 
2650.00	2.139860E+11 
2660.00	2.173391E+11 
2670.00	2.201490E+11 
2680.00	2.221918E+11 
2690.00	2.263687E+11 
2700.00	2.280397E+11 
2710.00	2.319516E+11 
2720.00	2.349246E+11 
2730.00	2.374537E+11 
2740.00	2.419829E+11 
2750.00	2.438567E+11 
2760.00	2.484585E+11 
2770.00	2.514917E+11 
2780.00	2.546920E+11 
2790.00	2.595622E+11 
2800.00	2.617539E+11 
2810.00	2.671142E+11 
2820.00	2.703065E+11 
2830.00	2.742635E+11 
2840.00	2.795489E+11 
2850.00	2.821953E+11 
2860.00	2.883369E+11 
2870.00	2.917155E+11 
2880.00	2.966033E+11 
2890.00	3.022859E+11 
2900.00	3.055702E+11 
2910.00	3.125784E+11 
2920.00	3.162666E+11 
2930.00	3.222576E+11 
2940.00	3.283653E+11 
2950.00	3.324570E+11 
2960.00	3.404262E+11 
2970.00	3.445470E+11 
2980.00	3.518289E+11 
2990.00	3.584669E+11 
3000.00	3.636174E+11 
3010.00	3.726837E+11 
3020.00	3.774194E+11 
3030.00	3.862294E+11 
3040.00	3.934960E+11 
3050.00	4.000066E+11 
3060.00	4.102779E+11 
3070.00	4.158916E+11 
3080.00	4.265236E+11 
