#APU18, K = 1.922968
#Energy[eV]	Flux[ph/s/eV/100mA] 
2420.00	3.165442E+10 
2430.00	3.115837E+10 
2440.00	3.064720E+10 
2450.00	3.017122E+10 
2460.00	2.973538E+10 
2470.00	2.930113E+10 
2480.00	2.892299E+10 
2490.00	2.854558E+10 
2500.00	2.817584E+10 
2510.00	2.784940E+10 
2520.00	2.750687E+10 
2530.00	2.723689E+10 
2540.00	2.695824E+10 
2550.00	2.672543E+10 
2560.00	2.651763E+10 
2570.00	2.628089E+10 
2580.00	2.609713E+10 
2590.00	2.589479E+10 
2600.00	2.573952E+10 
2610.00	2.561408E+10 
2620.00	2.546413E+10 
2630.00	2.536602E+10 
2640.00	2.522879E+10 
2650.00	2.510968E+10 
2660.00	2.516198E+10 
2670.00	2.510345E+10 
2680.00	2.506008E+10 
2690.00	2.504797E+10 
2700.00	2.505960E+10 
2710.00	2.510145E+10 
2720.00	2.513657E+10 
2730.00	2.521347E+10 
2740.00	2.529769E+10 
2750.00	2.540521E+10 
2760.00	2.556274E+10 
2770.00	2.572724E+10 
2780.00	2.593026E+10 
2790.00	2.614272E+10 
2800.00	2.636327E+10 
2810.00	2.665426E+10 
2820.00	2.692684E+10 
2830.00	2.727704E+10 
2840.00	2.764670E+10 
2850.00	2.805958E+10 
2860.00	2.853715E+10 
2870.00	2.901938E+10 
2880.00	2.958360E+10 
2890.00	3.020843E+10 
2900.00	3.088920E+10 
2910.00	3.161325E+10 
2920.00	3.246710E+10 
2930.00	3.335513E+10 
2940.00	3.436768E+10 
2950.00	3.547305E+10 
2960.00	3.672480E+10 
2970.00	3.809784E+10 
2980.00	3.966291E+10 
2990.00	4.139800E+10 
3000.00	4.335585E+10 
3010.00	4.562788E+10 
3020.00	4.844125E+10 
3030.00	5.210489E+10 
3040.00	5.698800E+10 
3050.00	6.381371E+10 
3060.00	7.315028E+10 
3070.00	8.612136E+10 
3080.00	1.053398E+11 
3090.00	1.348929E+11 
3100.00	1.814865E+11 
3110.00	2.553361E+11 
3120.00	3.701300E+11 
3130.00	5.449176E+11 
3140.00	8.097243E+11 
3150.00	1.214685E+12 
3160.00	1.837208E+12 
3170.00	2.770483E+12 
3180.00	4.112541E+12 
3190.00	6.014993E+12 
3200.00	8.710237E+12 
3210.00	1.239543E+13 
3220.00	1.724993E+13 
3230.00	2.349402E+13 
3240.00	3.116046E+13 
3250.00	4.010159E+13 
3260.00	4.980762E+13 
3270.00	5.925485E+13 
3280.00	6.667002E+13 
3290.00	6.893318E+13 
3300.00	6.315569E+13 
3310.00	5.052255E+13 
3320.00	3.243275E+13 
3330.00	1.235952E+13 
3340.00	2.108484E+12 
3350.00	6.138870E+11 
3360.00	3.823563E+11 
3370.00	2.744903E+11 
3380.00	2.101842E+11 
3390.00	1.677451E+11 
