#Energy[eV]	Flux[ph/s/100mA] 
10000.000	1.089808E+13 
30000.000	4.286883E+10 
40000.000	5.362403E+09 
50000.000	3.758560E+08 
70000.000	4.391966E+06 
80000.000	7.594417E+05 
90000.000	6.802384E+04 
110000.000	1.365132E+03 
120000.000	2.848829E+02 
130000.000	3.199061E+01 
150000.000	7.521030E-01 
160000.000	1.687035E-01 
170000.000	1.919421E-02 
190000.000	6.598980E-04 
200000.000	4.237520E-04 
210000.000	1.576288E-04 
230000.000	1.129384E-04 
240000.000	1.830655E-04 
250000.000	8.404031E-05 
270000.000	5.664363E-05 
280000.000	9.090043E-05 
290000.000	4.698582E-05 
310000.000	3.595194E-05 
320000.000	5.711104E-05 
330000.000	2.274250E-05 
350000.000	1.713842E-05 
360000.000	2.970982E-05 
370000.000	1.260457E-05 
390000.000	1.027165E-05 
400000.000	1.788989E-05 
