#Energy[eV]	Flux[ph/s/0.1%bw/100mA]
3470.00	4.861824E+11 
3480.00	4.867207E+11 
3490.00	4.884403E+11 
3500.00	4.872717E+11 
3510.00	4.906284E+11 
3520.00	4.898728E+11 
3530.00	4.925330E+11 
3540.00	4.943045E+11 
3550.00	4.951569E+11 
3560.00	4.992548E+11 
3570.00	4.995889E+11 
3580.00	5.040762E+11 
3590.00	5.061387E+11 
3600.00	5.092112E+11 
3610.00	5.139296E+11 
3620.00	5.159758E+11 
3630.00	5.219945E+11 
3640.00	5.250043E+11 
3650.00	5.304420E+11 
3660.00	5.359397E+11 
3670.00	5.402238E+11 
3680.00	5.479279E+11 
3690.00	5.525529E+11 
3700.00	5.607587E+11 
3710.00	5.676333E+11 
3720.00	5.751880E+11 
3730.00	5.850615E+11 
3740.00	5.927439E+11 
3750.00	6.044349E+11 
3760.00	6.140818E+11 
3770.00	6.264316E+11 
3780.00	6.400681E+11 
3790.00	6.535322E+11 
3800.00	6.719034E+11 
3810.00	6.898400E+11 
3820.00	7.135568E+11 
3830.00	7.400661E+11 
3840.00	7.705457E+11 
3850.00	8.076661E+11 
3860.00	8.470322E+11 
3870.00	8.951777E+11 
3880.00	9.485935E+11 
3890.00	1.013410E+12 
3900.00	1.094180E+12 
3910.00	1.194994E+12 
3920.00	1.327617E+12 
3930.00	1.492310E+12 
3940.00	1.696516E+12 
3950.00	1.937021E+12 
3960.00	2.212401E+12 
3970.00	2.528748E+12 
3980.00	2.894415E+12 
3990.00	3.341255E+12 
4000.00	3.901481E+12 
4010.00	4.613226E+12 
4020.00	5.496709E+12 
4030.00	6.543095E+12 
4040.00	7.734749E+12 
4050.00	9.055742E+12 
4060.00	1.054302E+13 
4070.00	1.228207E+13 
4080.00	1.438340E+13 
4090.00	1.692539E+13 
4100.00	1.989134E+13 
4110.00	2.320559E+13 
4120.00	2.680669E+13 
4130.00	3.075865E+13 
4140.00	3.524463E+13 
4150.00	4.043167E+13 
4160.00	4.633642E+13 
4170.00	5.280687E+13 
4180.00	5.972717E+13 
4190.00	6.718146E+13 
4200.00	7.539145E+13 
4210.00	8.446333E+13 
4220.00	9.425650E+13 
4230.00	1.046073E+14 
4240.00	1.155562E+14 
4250.00	1.272653E+14 
4260.00	1.397381E+14 
4270.00	1.528139E+14 
4280.00	1.664360E+14 
4290.00	1.806641E+14 
4300.00	1.954838E+14 
4310.00	2.107878E+14 
4320.00	2.265260E+14 
4330.00	2.426842E+14 
4340.00	2.591874E+14 
4350.00	2.759656E+14 
4360.00	2.929570E+14 
4370.00	3.100847E+14 
4380.00	3.272671E+14 
4390.00	3.444121E+14 
