#Energy[eV]	Flux[ph/s/0.1%bw/100mA] 
3460.00	8.696325E+10 
3470.00	8.473331E+10 
3480.00	8.423289E+10 
3490.00	8.434491E+10 
3500.00	8.187434E+10 
3510.00	8.327252E+10 
3520.00	8.075979E+10 
3530.00	8.121713E+10 
3540.00	8.050920E+10 
3550.00	7.897542E+10 
3560.00	8.010924E+10 
3570.00	7.763273E+10 
3580.00	7.874637E+10 
3590.00	7.737569E+10 
3600.00	7.683855E+10 
3610.00	7.738412E+10 
3620.00	7.540274E+10 
3630.00	7.674454E+10 
3640.00	7.500313E+10 
3650.00	7.533075E+10 
3660.00	7.523100E+10 
3670.00	7.393459E+10 
3680.00	7.515227E+10 
3690.00	7.335163E+10 
3700.00	7.431785E+10 
3710.00	7.360880E+10 
3720.00	7.309713E+10 
3730.00	7.397512E+10 
3740.00	7.241219E+10 
3750.00	7.372526E+10 
3760.00	7.262351E+10 
3770.00	7.286648E+10 
3780.00	7.325567E+10 
3790.00	7.217280E+10 
3800.00	7.353285E+10 
3810.00	7.227148E+10 
3820.00	7.312903E+10 
3830.00	7.304074E+10 
3840.00	7.258431E+10 
3850.00	7.376594E+10 
3860.00	7.262985E+10 
3870.00	7.393966E+10 
3880.00	7.345966E+10 
3890.00	7.370086E+10 
3900.00	7.455662E+10 
3910.00	7.378471E+10 
3920.00	7.529082E+10 
3930.00	7.462375E+10 
3940.00	7.549575E+10 
3950.00	7.601372E+10 
3960.00	7.575283E+10 
3970.00	7.728921E+10 
3980.00	7.663662E+10 
3990.00	7.804421E+10 
4000.00	7.826684E+10 
4010.00	7.865878E+10 
4020.00	8.007225E+10 
4030.00	7.970867E+10 
4040.00	8.152383E+10 
4050.00	8.157052E+10 
4060.00	8.266682E+10 
4070.00	8.392302E+10 
4080.00	8.405115E+10 
4090.00	8.613485E+10 
4100.00	8.623338E+10 
4110.00	8.802370E+10 
4120.00	8.915668E+10 
4130.00	9.002713E+10 
4140.00	9.225884E+10 
4150.00	9.269947E+10 
4160.00	9.520185E+10 
4170.00	9.632688E+10 
4180.00	9.809874E+10 
4190.00	1.005790E+11 
4200.00	1.016573E+11 
4210.00	1.048874E+11 
4220.00	1.063042E+11 
4230.00	1.092005E+11 
4240.00	1.119730E+11 
4250.00	1.141265E+11 
4260.00	1.181412E+11 
4270.00	1.204074E+11 
4280.00	1.247056E+11 
4290.00	1.282805E+11 
4300.00	1.322400E+11 
4310.00	1.377941E+11 
4320.00	1.421709E+11 
4330.00	1.493634E+11 
4340.00	1.558575E+11 
4350.00	1.644499E+11 
4360.00	1.748795E+11 
4370.00	1.858910E+11 
4380.00	2.008745E+11 
4390.00	2.167173E+11 
4400.00	2.380367E+11 
4410.00	2.639107E+11 
4420.00	2.963758E+11 
4430.00	3.397795E+11 
4440.00	3.939197E+11 
4450.00	4.669565E+11 
4460.00	5.603515E+11 
4470.00	6.819015E+11 
4480.00	8.391616E+11 
4490.00	1.039138E+12 
4500.00	1.298589E+12 
4510.00	1.630853E+12 
4520.00	2.063139E+12 
4530.00	2.624690E+12 
4540.00	3.350339E+12 
4550.00	4.279774E+12 
4560.00	5.445529E+12 
4570.00	6.895907E+12 
4580.00	8.691159E+12 
4590.00	1.092052E+13 
4600.00	1.368221E+13 
4610.00	1.705072E+13 
4620.00	2.108956E+13 
4630.00	2.587234E+13 
4640.00	3.150605E+13 
4650.00	3.805820E+13 
4660.00	4.553154E+13 
4670.00	5.390880E+13 
4680.00	6.311415E+13 
4690.00	7.297910E+13 
4700.00	8.322039E+13 
4710.00	9.342527E+13 
4720.00	1.030157E+14 
4730.00	1.111913E+14 
4740.00	1.168040E+14 
4750.00	1.182857E+14 
4760.00	1.145224E+14 
4770.00	1.058123E+14 
4780.00	9.302517E+13 
4790.00	7.661086E+13 
4800.00	5.689279E+13 
4810.00	3.530018E+13 
4820.00	1.658212E+13 
4830.00	6.170549E+12 
4840.00	2.742052E+12 
4850.00	1.781843E+12 
4860.00	1.288514E+12 
4870.00	1.025333E+12 
4880.00	8.447813E+11 
4890.00	7.130646E+11 
4900.00	6.129290E+11 
4910.00	5.346453E+11 
4920.00	4.718310E+11 
4930.00	4.205971E+11 
4940.00	3.781131E+11 
4950.00	3.424072E+11 
4960.00	3.121225E+11 
4970.00	2.861118E+11 
4980.00	2.636452E+11 
4990.00	2.440557E+11 
5000.00	2.268727E+11 
5010.00	2.117203E+11 
5020.00	1.982644E+11 
5030.00	1.862795E+11 
5040.00	1.755256E+11 
5050.00	1.658836E+11 
5060.00	1.571712E+11 
5070.00	1.492646E+11 
5080.00	1.421000E+11 
5090.00	1.355532E+11 
5100.00	1.295943E+11 
5110.00	1.241176E+11 
5120.00	1.190988E+11 
5130.00	1.144697E+11 
5140.00	1.101908E+11 
5150.00	1.062585E+11 
5160.00	1.026086E+11 
5170.00	9.922889E+10 
5180.00	9.608723E+10 
5190.00	9.316470E+10 
5200.00	9.044033E+10 
5210.00	8.791412E+10 
5220.00	8.553107E+10 
5230.00	8.331044E+10 
5240.00	8.123725E+10 
