#     Energy       Flux            PL            PC          PL45
#         eV  ph/s/0.1%             -             -             -
4.15000e+03  9.175e+12  9.462732e-01  0.000000e+00  0.000000e+00
4.20000e+03  9.184e+12  9.461188e-01  0.000000e+00  0.000000e+00
4.25000e+03  9.193e+12  9.459672e-01  0.000000e+00  0.000000e+00
4.30000e+03  9.200e+12  9.458182e-01  0.000000e+00  0.000000e+00
4.35000e+03  9.206e+12  9.456719e-01  0.000000e+00  0.000000e+00
4.40000e+03  9.211e+12  9.455281e-01  0.000000e+00  0.000000e+00
4.45000e+03  9.216e+12  9.453868e-01  0.000000e+00  0.000000e+00
4.50000e+03  9.219e+12  9.452480e-01  0.000000e+00  0.000000e+00
4.55000e+03  9.222e+12  9.451116e-01  0.000000e+00  0.000000e+00
4.60000e+03  9.224e+12  9.449775e-01  0.000000e+00  0.000000e+00
4.65000e+03  9.225e+12  9.448458e-01  0.000000e+00  0.000000e+00
4.70000e+03  9.225e+12  9.447163e-01  0.000000e+00  0.000000e+00
4.75000e+03  9.225e+12  9.445890e-01  0.000000e+00  0.000000e+00
4.80000e+03  9.223e+12  9.444639e-01  0.000000e+00  0.000000e+00
4.85000e+03  9.221e+12  9.443409e-01  0.000000e+00  0.000000e+00
4.90000e+03  9.218e+12  9.442200e-01  0.000000e+00  0.000000e+00
4.95000e+03  9.214e+12  9.441011e-01  0.000000e+00  0.000000e+00
5.00000e+03  9.210e+12  9.439842e-01  0.000000e+00  0.000000e+00
5.05000e+03  9.205e+12  9.438693e-01  0.000000e+00  0.000000e+00
5.10000e+03  9.199e+12  9.437563e-01  0.000000e+00  0.000000e+00
5.15000e+03  9.192e+12  9.436452e-01  0.000000e+00  0.000000e+00
5.20000e+03  9.185e+12  9.435360e-01  0.000000e+00  0.000000e+00
5.25000e+03  9.177e+12  9.434285e-01  0.000000e+00  0.000000e+00
5.30000e+03  9.169e+12  9.433229e-01  0.000000e+00  0.000000e+00
5.35000e+03  9.160e+12  9.432189e-01  0.000000e+00  0.000000e+00
5.40000e+03  9.150e+12  9.431167e-01  0.000000e+00  0.000000e+00
5.45000e+03  9.140e+12  9.430162e-01  0.000000e+00  0.000000e+00
5.50000e+03  9.129e+12  9.429174e-01  0.000000e+00  0.000000e+00
5.55000e+03  9.117e+12  9.428201e-01  0.000000e+00  0.000000e+00
5.60000e+03  9.105e+12  9.427245e-01  0.000000e+00  0.000000e+00
5.65000e+03  9.093e+12  9.426304e-01  0.000000e+00  0.000000e+00
5.70000e+03  9.080e+12  9.425378e-01  0.000000e+00  0.000000e+00
5.75000e+03  9.066e+12  9.424468e-01  0.000000e+00  0.000000e+00
5.80000e+03  9.052e+12  9.423573e-01  0.000000e+00  0.000000e+00
5.85000e+03  9.037e+12  9.422692e-01  0.000000e+00  0.000000e+00
5.90000e+03  9.022e+12  9.421825e-01  0.000000e+00  0.000000e+00
5.95000e+03  9.006e+12  9.420973e-01  0.000000e+00  0.000000e+00
6.00000e+03  8.990e+12  9.420134e-01  0.000000e+00  0.000000e+00
6.05000e+03  8.974e+12  9.419309e-01  0.000000e+00  0.000000e+00
6.10000e+03  8.957e+12  9.418497e-01  0.000000e+00  0.000000e+00
6.15000e+03  8.939e+12  9.417698e-01  0.000000e+00  0.000000e+00
6.20000e+03  8.921e+12  9.416913e-01  0.000000e+00  0.000000e+00
6.25000e+03  8.903e+12  9.416140e-01  0.000000e+00  0.000000e+00
6.30000e+03  8.884e+12  9.415379e-01  0.000000e+00  0.000000e+00
6.35000e+03  8.865e+12  9.414631e-01  0.000000e+00  0.000000e+00
6.40000e+03  8.846e+12  9.413895e-01  0.000000e+00  0.000000e+00
6.45000e+03  8.826e+12  9.413171e-01  0.000000e+00  0.000000e+00
6.50000e+03  8.805e+12  9.412459e-01  0.000000e+00  0.000000e+00
6.55000e+03  8.785e+12  9.411758e-01  0.000000e+00  0.000000e+00
6.60000e+03  8.764e+12  9.411068e-01  0.000000e+00  0.000000e+00
6.65000e+03  8.742e+12  9.410390e-01  0.000000e+00  0.000000e+00
6.70000e+03  8.721e+12  9.409722e-01  0.000000e+00  0.000000e+00
6.75000e+03  8.699e+12  9.409066e-01  0.000000e+00  0.000000e+00
6.80000e+03  8.676e+12  9.408420e-01  0.000000e+00  0.000000e+00
6.85000e+03  8.654e+12  9.407784e-01  0.000000e+00  0.000000e+00
6.90000e+03  8.631e+12  9.407159e-01  0.000000e+00  0.000000e+00
6.95000e+03  8.607e+12  9.406544e-01  0.000000e+00  0.000000e+00
7.00000e+03  8.584e+12  9.405939e-01  0.000000e+00  0.000000e+00
7.05000e+03  8.560e+12  9.405344e-01  0.000000e+00  0.000000e+00
7.10000e+03  8.536e+12  9.404759e-01  0.000000e+00  0.000000e+00
7.15000e+03  8.511e+12  9.404183e-01  0.000000e+00  0.000000e+00
7.20000e+03  8.487e+12  9.403617e-01  0.000000e+00  0.000000e+00
7.25000e+03  8.462e+12  9.403059e-01  0.000000e+00  0.000000e+00
7.30000e+03  8.437e+12  9.402512e-01  0.000000e+00  0.000000e+00
7.35000e+03  8.411e+12  9.401973e-01  0.000000e+00  0.000000e+00
7.40000e+03  8.386e+12  9.401443e-01  0.000000e+00  0.000000e+00
7.45000e+03  8.360e+12  9.400921e-01  0.000000e+00  0.000000e+00
7.50000e+03  8.334e+12  9.400409e-01  0.000000e+00  0.000000e+00
7.55000e+03  8.307e+12  9.399904e-01  0.000000e+00  0.000000e+00
7.60000e+03  8.281e+12  9.399409e-01  0.000000e+00  0.000000e+00
7.65000e+03  8.254e+12  9.398921e-01  0.000000e+00  0.000000e+00
7.70000e+03  8.227e+12  9.398442e-01  0.000000e+00  0.000000e+00
7.75000e+03  8.200e+12  9.397970e-01  0.000000e+00  0.000000e+00
7.80000e+03  8.173e+12  9.397507e-01  0.000000e+00  0.000000e+00
7.85000e+03  8.146e+12  9.397051e-01  0.000000e+00  0.000000e+00
7.90000e+03  8.118e+12  9.396603e-01  0.000000e+00  0.000000e+00
7.95000e+03  8.090e+12  9.396163e-01  0.000000e+00  0.000000e+00
8.00000e+03  8.062e+12  9.395730e-01  0.000000e+00  0.000000e+00
8.05000e+03  8.034e+12  9.395304e-01  0.000000e+00  0.000000e+00
8.10000e+03  8.006e+12  9.394886e-01  0.000000e+00  0.000000e+00
8.15000e+03  7.977e+12  9.394475e-01  0.000000e+00  0.000000e+00
8.20000e+03  7.949e+12  9.394071e-01  0.000000e+00  0.000000e+00
8.25000e+03  7.920e+12  9.393674e-01  0.000000e+00  0.000000e+00
8.30000e+03  7.891e+12  9.393284e-01  0.000000e+00  0.000000e+00
8.35000e+03  7.863e+12  9.392901e-01  0.000000e+00  0.000000e+00
8.40000e+03  7.834e+12  9.392525e-01  0.000000e+00  0.000000e+00
8.45000e+03  7.804e+12  9.392155e-01  0.000000e+00  0.000000e+00
8.50000e+03  7.775e+12  9.391791e-01  0.000000e+00  0.000000e+00
8.55000e+03  7.746e+12  9.391435e-01  0.000000e+00  0.000000e+00
8.60000e+03  7.716e+12  9.391084e-01  0.000000e+00  0.000000e+00
8.65000e+03  7.687e+12  9.390740e-01  0.000000e+00  0.000000e+00
8.70000e+03  7.657e+12  9.390402e-01  0.000000e+00  0.000000e+00
8.75000e+03  7.627e+12  9.390070e-01  0.000000e+00  0.000000e+00
8.80000e+03  7.597e+12  9.389744e-01  0.000000e+00  0.000000e+00
8.85000e+03  7.567e+12  9.389424e-01  0.000000e+00  0.000000e+00
8.90000e+03  7.537e+12  9.389110e-01  0.000000e+00  0.000000e+00
8.95000e+03  7.507e+12  9.388802e-01  0.000000e+00  0.000000e+00
9.00000e+03  7.477e+12  9.388500e-01  0.000000e+00  0.000000e+00
9.05000e+03  7.447e+12  9.388203e-01  0.000000e+00  0.000000e+00
9.10000e+03  7.417e+12  9.387912e-01  0.000000e+00  0.000000e+00
9.15000e+03  7.386e+12  9.387626e-01  0.000000e+00  0.000000e+00
9.20000e+03  7.356e+12  9.387346e-01  0.000000e+00  0.000000e+00
9.25000e+03  7.326e+12  9.387071e-01  0.000000e+00  0.000000e+00
9.30000e+03  7.295e+12  9.386802e-01  0.000000e+00  0.000000e+00
9.35000e+03  7.265e+12  9.386537e-01  0.000000e+00  0.000000e+00
9.40000e+03  7.234e+12  9.386278e-01  0.000000e+00  0.000000e+00
9.45000e+03  7.204e+12  9.386025e-01  0.000000e+00  0.000000e+00
9.50000e+03  7.173e+12  9.385781e-01  0.000000e+00  0.000000e+00
9.55000e+03  7.142e+12  9.385538e-01  0.000000e+00  0.000000e+00
9.60000e+03  7.112e+12  9.385300e-01  0.000000e+00  0.000000e+00
9.65000e+03  7.081e+12  9.385066e-01  0.000000e+00  0.000000e+00
9.70000e+03  7.050e+12  9.384837e-01  0.000000e+00  0.000000e+00
9.75000e+03  7.019e+12  9.384614e-01  0.000000e+00  0.000000e+00
9.80000e+03  6.989e+12  9.384394e-01  0.000000e+00  0.000000e+00
9.85000e+03  6.958e+12  9.384180e-01  0.000000e+00  0.000000e+00
9.90000e+03  6.927e+12  9.383970e-01  0.000000e+00  0.000000e+00
9.95000e+03  6.896e+12  9.383765e-01  0.000000e+00  0.000000e+00
1.00000e+04  6.865e+12  9.383564e-01  0.000000e+00  0.000000e+00
1.00500e+04  6.835e+12  9.383370e-01  0.000000e+00  0.000000e+00
1.01000e+04  6.804e+12  9.383178e-01  0.000000e+00  0.000000e+00
1.01500e+04  6.773e+12  9.382991e-01  0.000000e+00  0.000000e+00
1.02000e+04  6.742e+12  9.382808e-01  0.000000e+00  0.000000e+00
1.02500e+04  6.711e+12  9.382629e-01  0.000000e+00  0.000000e+00
1.03000e+04  6.681e+12  9.382454e-01  0.000000e+00  0.000000e+00
1.03500e+04  6.650e+12  9.382284e-01  0.000000e+00  0.000000e+00
1.04000e+04  6.619e+12  9.382117e-01  0.000000e+00  0.000000e+00
1.04500e+04  6.588e+12  9.381955e-01  0.000000e+00  0.000000e+00
1.05000e+04  6.558e+12  9.381797e-01  0.000000e+00  0.000000e+00
1.05500e+04  6.527e+12  9.381642e-01  0.000000e+00  0.000000e+00
1.06000e+04  6.496e+12  9.381497e-01  0.000000e+00  0.000000e+00
1.06500e+04  6.466e+12  9.381351e-01  0.000000e+00  0.000000e+00
1.07000e+04  6.435e+12  9.381209e-01  0.000000e+00  0.000000e+00
1.07500e+04  6.405e+12  9.381070e-01  0.000000e+00  0.000000e+00
1.08000e+04  6.374e+12  9.380936e-01  0.000000e+00  0.000000e+00
1.08500e+04  6.343e+12  9.380805e-01  0.000000e+00  0.000000e+00
1.09000e+04  6.313e+12  9.380677e-01  0.000000e+00  0.000000e+00
1.09500e+04  6.283e+12  9.380554e-01  0.000000e+00  0.000000e+00
1.10000e+04  6.252e+12  9.380434e-01  0.000000e+00  0.000000e+00
1.10500e+04  6.222e+12  9.380318e-01  0.000000e+00  0.000000e+00
1.11000e+04  6.191e+12  9.380205e-01  0.000000e+00  0.000000e+00
1.11500e+04  6.161e+12  9.380095e-01  0.000000e+00  0.000000e+00
1.12000e+04  6.131e+12  9.379989e-01  0.000000e+00  0.000000e+00
1.12500e+04  6.101e+12  9.379887e-01  0.000000e+00  0.000000e+00
1.13000e+04  6.071e+12  9.379788e-01  0.000000e+00  0.000000e+00
1.13500e+04  6.041e+12  9.379692e-01  0.000000e+00  0.000000e+00
1.14000e+04  6.011e+12  9.379600e-01  0.000000e+00  0.000000e+00
1.14500e+04  5.981e+12  9.379508e-01  0.000000e+00  0.000000e+00
1.15000e+04  5.951e+12  9.379422e-01  0.000000e+00  0.000000e+00
1.15500e+04  5.921e+12  9.379339e-01  0.000000e+00  0.000000e+00
1.16000e+04  5.891e+12  9.379259e-01  0.000000e+00  0.000000e+00
1.16500e+04  5.861e+12  9.379182e-01  0.000000e+00  0.000000e+00
1.17000e+04  5.832e+12  9.379109e-01  0.000000e+00  0.000000e+00
1.17500e+04  5.802e+12  9.379036e-01  0.000000e+00  0.000000e+00
1.18000e+04  5.773e+12  9.378969e-01  0.000000e+00  0.000000e+00
1.18500e+04  5.743e+12  9.378904e-01  0.000000e+00  0.000000e+00
1.19000e+04  5.714e+12  9.378843e-01  0.000000e+00  0.000000e+00
1.19500e+04  5.684e+12  9.378775e-01  0.000000e+00  0.000000e+00
1.20000e+04  5.655e+12  9.378717e-01  0.000000e+00  0.000000e+00
1.20500e+04  5.626e+12  9.378663e-01  0.000000e+00  0.000000e+00
1.21000e+04  5.597e+12  9.378613e-01  0.000000e+00  0.000000e+00
1.21500e+04  5.568e+12  9.378565e-01  0.000000e+00  0.000000e+00
1.22000e+04  5.539e+12  9.378520e-01  0.000000e+00  0.000000e+00
1.22500e+04  5.510e+12  9.378477e-01  0.000000e+00  0.000000e+00
1.23000e+04  5.481e+12  9.378438e-01  0.000000e+00  0.000000e+00
1.23500e+04  5.452e+12  9.378401e-01  0.000000e+00  0.000000e+00
1.24000e+04  5.423e+12  9.378367e-01  0.000000e+00  0.000000e+00
1.24500e+04  5.395e+12  9.378335e-01  0.000000e+00  0.000000e+00
1.25000e+04  5.366e+12  9.378306e-01  0.000000e+00  0.000000e+00
1.25500e+04  5.338e+12  9.378280e-01  0.000000e+00  0.000000e+00
1.26000e+04  5.309e+12  9.378256e-01  0.000000e+00  0.000000e+00
1.26500e+04  5.281e+12  9.378235e-01  0.000000e+00  0.000000e+00
1.27000e+04  5.253e+12  9.378216e-01  0.000000e+00  0.000000e+00
1.27500e+04  5.225e+12  9.378200e-01  0.000000e+00  0.000000e+00
1.28000e+04  5.197e+12  9.378186e-01  0.000000e+00  0.000000e+00
1.28500e+04  5.169e+12  9.378175e-01  0.000000e+00  0.000000e+00
1.29000e+04  5.141e+12  9.378166e-01  0.000000e+00  0.000000e+00
1.29500e+04  5.113e+12  9.378159e-01  0.000000e+00  0.000000e+00
1.30000e+04  5.086e+12  9.378155e-01  0.000000e+00  0.000000e+00
1.30500e+04  5.058e+12  9.378153e-01  0.000000e+00  0.000000e+00
1.31000e+04  5.030e+12  9.378153e-01  0.000000e+00  0.000000e+00
1.31500e+04  5.003e+12  9.378156e-01  0.000000e+00  0.000000e+00
1.32000e+04  4.976e+12  9.378161e-01  0.000000e+00  0.000000e+00
1.32500e+04  4.948e+12  9.378168e-01  0.000000e+00  0.000000e+00
1.33000e+04  4.921e+12  9.378178e-01  0.000000e+00  0.000000e+00
1.33500e+04  4.894e+12  9.378189e-01  0.000000e+00  0.000000e+00
1.34000e+04  4.867e+12  9.378203e-01  0.000000e+00  0.000000e+00
1.34500e+04  4.840e+12  9.378219e-01  0.000000e+00  0.000000e+00
1.35000e+04  4.814e+12  9.378237e-01  0.000000e+00  0.000000e+00
1.35500e+04  4.787e+12  9.378258e-01  0.000000e+00  0.000000e+00
1.36000e+04  4.760e+12  9.378280e-01  0.000000e+00  0.000000e+00
1.36500e+04  4.734e+12  9.378304e-01  0.000000e+00  0.000000e+00
1.37000e+04  4.707e+12  9.378331e-01  0.000000e+00  0.000000e+00
1.37500e+04  4.681e+12  9.378359e-01  0.000000e+00  0.000000e+00
1.38000e+04  4.655e+12  9.378390e-01  0.000000e+00  0.000000e+00
1.38500e+04  4.629e+12  9.378423e-01  0.000000e+00  0.000000e+00
1.39000e+04  4.603e+12  9.378457e-01  0.000000e+00  0.000000e+00
1.39500e+04  4.577e+12  9.378494e-01  0.000000e+00  0.000000e+00
1.40000e+04  4.551e+12  9.378532e-01  0.000000e+00  0.000000e+00
1.40500e+04  4.525e+12  9.378572e-01  0.000000e+00  0.000000e+00
1.41000e+04  4.500e+12  9.378615e-01  0.000000e+00  0.000000e+00
1.41500e+04  4.474e+12  9.378659e-01  0.000000e+00  0.000000e+00
