# Energy[eV]	Flux[ph/s/100mA]
1.000000E+04	8.604208E+11
3.000000E+04	5.255742E+09
4.000000E+04	7.446332E+08
5.000000E+04	5.480307E+07
7.000000E+04	7.124757E+05
8.000000E+04	1.293611E+05
9.000000E+04	1.306757E+04
1.100000E+05	2.868385E+02
1.200000E+05	6.477543E+01
1.300000E+05	6.849883E+00
1.500000E+05	1.710901E-01
1.600000E+05	3.954717E-02
1.700000E+05	4.323489E-03
1.900000E+05	1.145635E-04
2.000000E+05	2.947722E-05
2.100000E+05	3.053774E-06
2.300000E+05	7.810460E-08
2.400000E+05	2.078031E-08
2.500000E+05	2.870817E-09
2.700000E+05	7.115075E-11
2.800000E+05	1.644700E-11
2.900000E+05	1.746346E-12
